alpha body, CL_e
 -10.000000,    0.156051
  -9.090909,    0.231106
  -8.181818,    0.306151
  -7.272727,    0.381190
  -6.363636,    0.456228
  -5.454545,    0.531269
  -4.545455,    0.606320
  -3.636364,    0.681385
  -2.727273,    0.756468
  -1.818182,    0.832689
  -0.909091,    0.906908
