alpha, CM
  -4.861573,    0.003929
  -4.568197,    0.003924
  -4.272887,    0.003918
  -3.975611,    0.003912
  -3.676236,    0.003906
  -3.374645,    0.003900
  -3.070986,    0.003894
  -2.765228,    0.003888
  -2.457341,    0.003882
  -2.147222,    0.003876
  -1.834670,    0.003870
  -1.519889,    0.003864
  -1.202849,    0.003858
  -0.883520,    0.003852
  -0.561845,    0.003846
  -0.237522,    0.003839
   0.089180,    0.003735
   0.418288,    0.003368
   0.749828,    0.002999
   1.083824,    0.002626
   1.420639,    0.002251
   1.759978,    0.001872
   2.101848,    0.001491
   2.446271,    0.001107
   2.793473,    0.000720
   3.170883,    0.000299
   3.708025,   -0.000300
   4.245073,   -0.000899
   4.781991,   -0.001498
   5.318747,   -0.002096
