alpha, CM
  -4.861573,    0.028240
  -4.568197,    0.028234
  -4.272887,    0.028229
  -3.975611,    0.028223
  -3.676236,    0.028217
  -3.374645,    0.028211
  -3.070986,    0.028205
  -2.765228,    0.028199
  -2.457341,    0.028193
  -2.147222,    0.028187
  -1.834670,    0.028181
  -1.519889,    0.028175
  -1.202849,    0.028169
  -0.883520,    0.028163
  -0.561845,    0.028156
  -0.237522,    0.028150
   0.089180,    0.028046
   0.418288,    0.027679
   0.749828,    0.027309
   1.083824,    0.026937
   1.420639,    0.026561
   1.759978,    0.026183
   2.101848,    0.025802
   2.446271,    0.025418
   2.793473,    0.025030
   3.170883,    0.024610
   3.708025,    0.024011
   4.245073,    0.023412
   4.781991,    0.022813
   5.318747,    0.022215
