alpha, CM
  -4.861573,    0.078608
  -4.568197,    0.078602
  -4.272887,    0.078596
  -3.975611,    0.078590
  -3.676236,    0.078585
  -3.374645,    0.078579
  -3.070986,    0.078573
  -2.765228,    0.078567
  -2.457341,    0.078561
  -2.147222,    0.078555
  -1.834670,    0.078549
  -1.519889,    0.078543
  -1.202849,    0.078536
  -0.883520,    0.078530
  -0.561845,    0.078524
  -0.237522,    0.078518
   0.089180,    0.078414
   0.418288,    0.078047
   0.749828,    0.077677
   1.083824,    0.077304
   1.420639,    0.076929
   1.759978,    0.076550
   2.101848,    0.076169
   2.446271,    0.075785
   2.793473,    0.075398
   3.170883,    0.074977
   3.708025,    0.074378
   4.245073,    0.073779
   4.781991,    0.073181
   5.318747,    0.072582
