alpha, CM
  -4.861573,    0.061075
  -4.568197,    0.061069
  -4.272887,    0.061063
  -3.975611,    0.061057
  -3.676236,    0.061052
  -3.374645,    0.061046
  -3.070986,    0.061040
  -2.765228,    0.061034
  -2.457341,    0.061028
  -2.147222,    0.061022
  -1.834670,    0.061016
  -1.519889,    0.061010
  -1.202849,    0.061003
  -0.883520,    0.060997
  -0.561845,    0.060991
  -0.237522,    0.060985
   0.089180,    0.060881
   0.418288,    0.060514
   0.749828,    0.060144
   1.083824,    0.059771
   1.420639,    0.059396
   1.759978,    0.059017
   2.101848,    0.058636
   2.446271,    0.058252
   2.793473,    0.057865
   3.170883,    0.057444
   3.708025,    0.056845
   4.245073,    0.056246
   4.781991,    0.055648
   5.318747,    0.055049
