alpha, CM
  -4.825317,   -0.003741
  -4.523414,   -0.003747
  -4.219461,   -0.003753
  -3.913428,   -0.003759
  -3.605167,   -0.003765
  -3.294586,   -0.003771
  -2.981835,   -0.003777
  -2.666886,   -0.003783
  -2.349713,   -0.003789
  -2.030203,   -0.003795
  -1.708180,   -0.003801
  -1.383850,   -0.003808
  -1.057190,   -0.003814
  -0.728175,   -0.003820
  -0.396736,   -0.003827
  -0.062606,   -0.003833
   0.273948,   -0.004140
   0.612946,   -0.004518
   0.954406,   -0.004899
   1.298346,   -0.005282
   1.645132,   -0.005669
   1.994432,   -0.006059
   2.346258,   -0.006451
   2.700622,   -0.006846
   3.057724,   -0.007244
   3.443450,   -0.007674
   3.979741,   -0.008272
   4.515770,   -0.008870
   5.051509,   -0.009468
   5.586931,   -0.010065
