alpha, CM
  -4.861573,    0.000095
  -4.568197,    0.000089
  -4.272887,    0.000083
  -3.975611,    0.000077
  -3.676236,    0.000072
  -3.374645,    0.000066
  -3.070986,    0.000060
  -2.765228,    0.000054
  -2.457341,    0.000048
  -2.147222,    0.000042
  -1.834670,    0.000036
  -1.519889,    0.000030
  -1.202849,    0.000023
  -0.883520,    0.000017
  -0.561845,    0.000011
  -0.237522,    0.000005
   0.089180,   -0.000099
   0.418288,   -0.000466
   0.749828,   -0.000836
   1.083824,   -0.001209
   1.420639,   -0.001584
   1.759978,   -0.001963
   2.101848,   -0.002344
   2.446271,   -0.002728
   2.793473,   -0.003115
   3.170883,   -0.003536
   3.708025,   -0.004135
   4.245073,   -0.004734
   4.781991,   -0.005332
   5.318747,   -0.005931
