alpha, CM
  -4.825317,    0.014565
  -4.523414,    0.014559
  -4.219461,    0.014553
  -3.913428,    0.014547
  -3.605167,    0.014541
  -3.294586,    0.014535
  -2.981835,    0.014529
  -2.666886,    0.014523
  -2.349713,    0.014517
  -2.030203,    0.014511
  -1.708180,    0.014504
  -1.383850,    0.014498
  -1.057190,    0.014492
  -0.728175,    0.014485
  -0.396736,    0.014479
  -0.062606,    0.014472
   0.273948,    0.014166
   0.612946,    0.013788
   0.954406,    0.013407
   1.298346,    0.013023
   1.645132,    0.012637
   1.994432,    0.012247
   2.346258,    0.011855
   2.700622,    0.011460
   3.057724,    0.011061
   3.443450,    0.010631
   3.979741,    0.010033
   4.515770,    0.009436
   5.051509,    0.008838
   5.586931,    0.008241
