alpha, CM
  -4.861573,    0.044173
  -4.568197,    0.044168
  -4.272887,    0.044162
  -3.975611,    0.044156
  -3.676236,    0.044150
  -3.374645,    0.044144
  -3.070986,    0.044139
  -2.765228,    0.044133
  -2.457341,    0.044127
  -2.147222,    0.044121
  -1.834670,    0.044114
  -1.519889,    0.044108
  -1.202849,    0.044102
  -0.883520,    0.044096
  -0.561845,    0.044090
  -0.237522,    0.044083
   0.089180,    0.043979
   0.418288,    0.043612
   0.749828,    0.043243
   1.083824,    0.042870
   1.420639,    0.042495
   1.759978,    0.042116
   2.101848,    0.041735
   2.446271,    0.041351
   2.793473,    0.040964
   3.170883,    0.040543
   3.708025,    0.039944
   4.245073,    0.039345
   4.781991,    0.038746
   5.318747,    0.038148
