0.2	0.6	0.78	0.8	
0.0	6561.68	16404.2	26246.72	
0.0	10.0	
-5.0	-2.5	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.5	10.0	12.5	
-3.0	3.0	

 	-3.0	3.0
0.0	0.087515	-0.087738
10.0	0.085702	-0.085776

 	-3.0	3.0
0.0	0.10526	-0.10522
10.0	0.10806	-0.10793

 	-3.0	3.0
0.0	0.13822	-0.13791
10.0	0.13391	-0.13314

 	-3.0	3.0
0.0	0.13269	-0.13099
10.0	0.14387	-0.14332
