V (EAS), 
  82.582654,    0.000000
  82.582654,    1.000000
  87.915097,    1.133311
  93.247540,    1.274961
  98.579983,    1.424950
 103.912426,    1.583278
 109.244869,    1.749945
 114.577312,    1.924950
 119.909755,    2.108295
 125.242198,    2.299978
 130.574641,    2.500000
 230.154187,    2.500000
 287.692733,    2.500000
 287.692733,    0.000000
 230.154187,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,   -1.000000
 101.142682,    0.000000
