Ground Roll Distance, Acceleration
1112.412899, -8384.365780
1138.585653, -8356.083840
1319.269083, -8164.223105
1355.005927, -8126.968979
1390.611043, -8090.077658
1426.085087, -8053.545028
1461.428708, -8017.367035
1468.481839, -8010.173640
1468.651553, -8010.000657
1468.774173, -8009.875680
1468.834595, -8009.814097
1468.873008, -8009.774946
1468.886392, -8009.761306
1468.894192, -8009.753356
1468.895757, -27457.797554
1468.897182, -27457.839867
1468.911433, -27458.263004
1469.053934, -27462.494686
1470.478637, -27504.842767
1484.694425, -27931.464217
1587.919327, -31267.543599
1612.370109, -32124.112841
1639.761874, -33113.848864
1756.308037, -37767.399904
1865.708425, -42916.930403
1963.723437, -48354.638204
2050.659091, -54018.486980
2127.168195, -59849.974382
2193.982165, -65787.599457
2251.842216, -71767.186389
2265.695530, -73342.350615
2267.994152, -73608.336219
2270.707944, -73910.611674
2296.955318, -76954.518539
2313.064287, -78941.467093
2324.355795, -80395.006232
2328.164341, -80894.849320
2331.558531, -81341.670172
2363.392366, -85809.309571
2372.092138, -87130.758217
2379.262037, -88258.339017
2383.215383, -88896.242657
2385.467024, -89265.021075
2386.595630, -89443.058694
2387.709845, -89614.428796
2398.446090, -91311.930133
2426.054555, -96168.721818
2447.031459, -100662.704143
2451.588320, -101967.991210
2455.168299, -103101.965304
2464.385068, -107199.787919
2465.299551, -108051.720625
2465.585593, -108512.071903
2465.692242, -108899.314465
2465.697158, -108973.249940
2465.697629, -108997.844262
2465.697655, -109005.193523
