Ground distance, Fuel used
4322.970316,    7.359358
4341.613193,    7.391138
4360.256795,    7.422923
4378.900459,    7.454708
4397.544123,    7.486494
4416.187787,    7.518279
4434.831451,    7.550065
4453.475115,    7.581850
4472.118779,    7.613635
4490.762443,    7.645421
4509.406106,    7.677206
4528.049770,    7.708992
4546.694289,    7.740782
4565.338880,    7.772572
4583.983471,    7.804363
4602.628063,    7.836154
4621.272654,    7.867944
4639.917245,    7.899735
4658.561837,    7.931526
4677.206428,    7.963316
4695.851019,    7.995107
4714.495611,    8.026897
4733.141054,    8.058693
4751.786570,    8.090489
4770.432086,    8.122284
4789.077603,    8.154080
4807.723119,    8.185876
4826.368635,    8.217672
4845.014151,    8.249468
4863.659667,    8.281264
4882.305183,    8.313059
4900.950700,    8.344855
4919.596999,    8.376656
4938.243365,    8.408457
4956.889731,    8.440258
4975.536097,    8.472059
4994.182464,    8.503860
5012.828830,    8.535661
5031.475196,    8.567462
5050.121562,    8.599263
5068.767928,    8.631064
5087.414294,    8.662865
5106.061423,    8.694670
5124.708617,    8.726477
5143.355810,    8.758283
5162.003004,    8.790089
5180.650197,    8.821895
5199.297391,    8.853701
5217.944584,    8.885507
5236.591778,    8.917314
5255.238972,    8.949120
5273.886165,    8.980926
5292.534247,    9.012737
5311.182404,    9.044548
5329.830562,    9.076360
5348.478719,    9.108171
5367.126877,    9.139982
5385.775034,    9.171794
5404.423191,    9.203605
5423.071349,    9.235416
5441.719506,    9.267228
5460.367664,    9.299039
5479.016701,    9.330855
5497.665814,    9.362672
5516.314927,    9.394488
5534.964040,    9.426305
5553.613153,    9.458121
5572.262265,    9.489938
5590.911378,    9.521754
5609.560491,    9.553571
5628.209604,    9.585388
5646.858717,    9.617204
5665.508634,    9.649025
5684.158621,    9.680847
5702.808607,    9.712669
5721.458594,    9.744490
5740.108580,    9.776312
5758.758566,    9.808134
5777.408553,    9.839956
5796.058539,    9.871777
5814.708526,    9.903599
5833.358512,    9.935421
5852.009276,    9.967247
5870.660105,    9.999074
5889.310935,   10.030901
5907.961765,   10.062728
5926.612594,   10.094554
5945.263424,   10.126381
5963.914254,   10.158208
5982.565084,   10.190035
6001.215913,   10.221862
6019.866743,   10.253689
6038.518469,   10.285520
6057.170271,   10.317352
6075.822073,   10.349184
6094.473875,   10.381016
6113.125677,   10.412848
6131.777478,   10.444680
