Ground Roll distance, Load Factor
 337.923087,    0.684641
 345.838624,    0.679820
 400.307209,    0.647275
 411.041852,    0.640990
 421.724295,    0.634777
 432.354885,    0.628635
 442.933966,    0.622563
 445.043631,    0.621357
 445.097186,    0.621326
 445.121746,    0.621312
 445.146061,    0.621299
 445.160717,    0.621290
 445.165593,    0.621287
 445.168368,    0.621286
 445.168762,    0.621286
 445.169167,    0.621285
 445.173219,    0.621280
 445.213730,    0.621232
 445.618755,    0.620748
 449.660320,    0.615910
 460.342087,    0.603029
 467.171980,    0.594719
 470.312232,    0.590880
 473.695863,    0.586728
 506.867854,    0.545230
 554.801279,    0.482658
 599.743270,    0.421138
 641.555497,    0.361393
 680.108495,    0.304162
 715.283912,    0.250183
 746.976701,    0.200163
 775.097154,    0.154757
 777.485138,    0.150860
 778.896876,    0.148553
 779.431719,    0.147679
 779.984834,    0.146774
 785.422309,    0.137851
 808.397165,    0.099595
 827.607336,    0.066949
 842.986340,    0.040427
 854.488740,    0.020411
 862.091175,    0.007138
 865.711235,    0.000832
 865.989170,    0.000350
 866.132711,    0.000101
 866.189155,    0.000003
 866.190737,    0.000001
 866.191093,    0.000000
 866.191112,    0.000000
