eta, cCl
   0.000000,    0.503644
   0.020408,    0.501667
   0.040816,    0.501387
   0.061224,    0.500910
   0.081633,    0.500233
   0.102041,    0.499355
   0.122449,    0.498274
   0.142857,    0.496990
   0.163265,    0.495504
   0.183673,    0.493815
   0.204082,    0.491923
   0.224490,    0.489829
   0.244898,    0.487532
   0.265306,    0.485031
   0.285714,    0.482325
   0.306122,    0.479414
   0.326531,    0.476294
   0.346939,    0.472963
   0.367347,    0.469417
   0.387755,    0.465653
   0.408163,    0.461665
   0.428571,    0.457447
   0.448980,    0.452992
   0.469388,    0.448292
   0.489796,    0.443337
   0.510204,    0.438113
   0.530612,    0.432606
   0.551020,    0.426804
   0.571429,    0.420689
   0.591837,    0.414241
   0.612245,    0.407437
   0.632653,    0.400251
   0.653061,    0.392649
   0.673469,    0.384597
   0.693878,    0.376050
   0.714286,    0.366959
   0.734694,    0.357264
   0.755102,    0.346891
   0.775510,    0.335755
   0.795918,    0.323747
   0.816327,    0.310735
   0.836735,    0.296549
   0.857143,    0.280968
   0.877551,    0.263695
   0.897959,    0.244314
   0.918367,    0.222205
   0.938776,    0.196363
   0.959184,    0.164916
   0.979592,    0.123360
   1.000000,    0.000000
