eta, cCl
   0.000000,    2.518220
   0.020408,    2.508335
   0.040816,    2.506935
   0.061224,    2.504551
   0.081633,    2.501167
   0.102041,    2.496774
   0.122449,    2.491369
   0.142857,    2.484950
   0.163265,    2.477518
   0.183673,    2.469073
   0.204082,    2.459615
   0.224490,    2.449144
   0.244898,    2.437658
   0.265306,    2.425154
   0.285714,    2.411627
   0.306122,    2.397069
   0.326531,    2.381469
   0.346939,    2.364814
   0.367347,    2.347086
   0.387755,    2.328265
   0.408163,    2.308325
   0.428571,    2.287236
   0.448980,    2.264962
   0.469388,    2.241462
   0.489796,    2.216687
   0.510204,    2.190565
   0.530612,    2.163030
   0.551020,    2.134019
   0.571429,    2.103444
   0.591837,    2.071206
   0.612245,    2.037187
   0.632653,    2.001253
   0.653061,    1.963246
   0.673469,    1.922984
   0.693878,    1.880252
   0.714286,    1.834797
   0.734694,    1.786319
   0.755102,    1.734457
   0.775510,    1.678775
   0.795918,    1.618736
   0.816327,    1.553675
   0.836735,    1.482744
   0.857143,    1.404838
   0.877551,    1.318473
   0.897959,    1.221569
   0.918367,    1.111026
   0.938776,    0.981817
   0.959184,    0.824581
   0.979592,    0.616801
   1.000000,    0.000000
