eta, Cm
   0.000000,   -0.167401
   0.020408,   -0.166451
   0.040816,   -0.165512
   0.061224,   -0.164495
   0.081633,   -0.163404
   0.102041,   -0.162236
   0.122449,   -0.160992
   0.142857,   -0.159668
   0.163265,   -0.158264
   0.183673,   -0.156775
   0.204082,   -0.155199
   0.224490,   -0.153530
   0.244898,   -0.151766
   0.265306,   -0.149898
   0.285714,   -0.147925
   0.306122,   -0.146522
   0.326531,   -0.146674
   0.346939,   -0.146849
   0.367347,   -0.147041
   0.387755,   -0.147251
   0.408163,   -0.147478
   0.428571,   -0.147723
   0.448980,   -0.147987
   0.469388,   -0.148270
   0.489796,   -0.148572
   0.510204,   -0.148893
   0.530612,   -0.149235
   0.551020,   -0.149598
   0.571429,   -0.149982
   0.591837,   -0.150387
   0.612245,   -0.150815
   0.632653,   -0.151265
   0.653061,   -0.151737
   0.673469,   -0.152232
   0.693878,   -0.152750
   0.714286,   -0.153289
   0.734694,   -0.153848
   0.755102,   -0.154425
   0.775510,   -0.155017
   0.795918,   -0.155619
   0.816327,   -0.156222
   0.836735,   -0.156815
   0.857143,   -0.157380
   0.877551,   -0.157888
   0.897959,   -0.158295
   0.918367,   -0.158528
   0.938776,   -0.158461
   0.959184,   -0.157853
   0.979592,   -0.156152
   1.000000,    0.000000
