alpha_h, CM
  -5.838204,    0.000325
  -5.548031,    0.000309
  -5.259297,    0.000293
  -4.971692,    0.000277
  -4.685300,    0.000261
  -4.399975,    0.000245
  -4.115698,    0.000229
  -3.832452,    0.000213
  -3.550225,    0.000198
  -3.269129,    0.000182
  -2.989007,    0.000166
  -2.709844,    0.000151
  -2.431622,    0.000135
  -2.154324,    0.000120
  -1.878045,    0.000105
  -1.602665,    0.000089
  -1.328153,    0.000074
  -1.054494,    0.000059
  -0.781670,    0.000044
  -0.509750,    0.000028
  -0.238656,    0.000013
   0.031657,   -0.000002
   0.301205,   -0.000017
   0.570004,   -0.000032
   0.838013,   -0.000047
   1.150246,   -0.000064
   1.598628,   -0.000089
   2.063942,   -0.000115
   2.541983,   -0.000141
   3.041862,   -0.000169
