Ground Roll distance, Vertical Forces
 342.412792, 537019.177229
 350.627524, 534326.653520
 407.634734, 515904.730035
 418.916862, 512312.935323
 430.159676, 508751.246243
 441.363368, 505219.346440
 452.528131, 501716.923631
 453.268518, 501485.267095
 453.835708, 501307.852652
 454.311711, 501158.995075
 454.553229, 501083.478324
 454.704591, 501036.155265
 454.828326, 500997.472216
 454.876900, 500982.286990
 454.906982, 500972.883080
 454.922421, 500968.056514
 454.928923, 500966.000618
 454.935433, 500963.739618
 455.000531, 500941.127116
 455.651429, 500714.751656
 462.152254, 498425.787627
 506.467511, 481368.577466
 550.492490, 461572.180464
 592.068064, 439761.945405
 608.392812, 430243.440122
 619.952401, 423143.117750
 631.549152, 415700.465156
 666.440020, 391194.745126
 699.941722, 364268.475959
 730.840998, 335951.343399
 759.107722, 306596.463672
 784.793124, 276564.468700
 807.975365, 246248.013021
 828.753845, 216058.207651
 847.243999, 186410.133633
 863.571212, 157710.897981
 867.103113, 151156.453482
 869.220203, 147164.535429
 871.732959, 142364.155038
 874.021265, 137934.171124
 887.026454, 111642.078938
 888.747127, 108013.293096
 889.520655, 106369.920137
 890.331305, 104639.460453
 898.065884, 87689.099668
 907.748589, 65259.657327
 908.085188, 64453.773668
 908.434428, 63615.755651
 911.800166, 55442.026080
 919.596283, 35787.675018
 925.774685, 19410.090183
 926.939435, 16232.122281
 927.073053, 15865.531041
 927.192913, 15536.286441
 928.322113, 12415.404008
 931.673931, 2920.283433
 932.141247, 1561.915070
 932.349981,  951.197780
 932.494640,  526.142699
 932.591560,  240.307653
 932.648363,   72.239120
 932.671455,    3.722205
 932.672609,    0.294492
 932.672702,    0.015826
 932.672707,    0.002084
