Ground distance, CL
   0.000000,    1.991883
  30.519448,    1.660733
  61.039536,    1.660651
  91.561844,    1.660189
 122.085331,    1.659645
 152.614316,    1.658720
 183.145190,    1.657795
 213.684875,    1.656870
 244.227251,    1.655945
 274.782190,    1.655020
 305.340553,    1.653931
 335.914898,    1.652081
 366.493355,    1.650231
 397.091006,    1.648381
 427.693402,    1.646531
 458.317949,    1.644681
 488.947834,    1.642831
 519.602641,    1.640981
 550.263404,    1.639131
 580.951972,    1.637281
 611.647181,    1.635268
 642.373387,    1.632493
 673.106882,    1.629778
 703.874403,    1.627340
 734.654343,    1.624807
 765.466305,    1.622032
 796.292072,    1.619257
 827.153438,    1.616482
 858.029513,    1.613578
 888.943516,    1.610341
 919.872921,    1.607103
 950.842036,    1.603866
 981.827301,    1.600499
1012.854203,    1.596799
1043.898062,    1.593357
1074.985639,    1.590582
1106.091209,    1.587549
1137.243168,    1.583849
1168.413683,    1.580082
1199.632045,    1.576145
1230.876834,    1.572142
1262.161239,    1.568040
1293.487711,    1.563903
1324.842715,    1.559740
1356.243924,    1.555578
1387.676470,    1.551415
1419.157039,    1.546977
1450.670178,    1.542352
1482.232905,    1.538003
1513.829265,    1.533840
1545.476401,    1.529402
1577.157978,    1.524777
1608.892104,    1.520152
1640.661873,    1.515527
1672.485658,    1.510902
1704.346081,    1.506277
1736.261836,    1.501652
1768.215121,    1.497027
1800.225126,    1.492402
1832.273600,    1.487777
1864.379951,    1.483152
1896.525558,    1.478527
1928.729703,    1.473902
1960.973552,    1.469277
1993.276211,    1.464376
2025.618758,    1.459289
2058.020923,    1.454477
2090.463524,    1.449852
2122.966320,    1.445227
2155.509944,    1.440602
2188.113693,    1.435977
2220.758222,    1.431352
2253.462896,    1.426451
2286.208365,    1.421364
2319.014466,    1.416552
2351.861691,    1.411927
2384.770000,    1.407302
2417.719739,    1.402677
2450.730744,    1.398052
2483.783304,    1.393427
2516.896974,    1.388802
2550.052091,    1.384177
2583.268624,    1.379552
2616.526811,    1.374927
2649.846646,    1.370302
2683.208292,    1.365677
