alpha_w, Cl
   0.000000,    0.028838
   0.005025,    0.027930
   0.010050,    0.027337
   0.015075,    0.026722
   0.020101,    0.026085
   0.025126,    0.025424
   0.030151,    0.024740
   0.035176,    0.024031
   0.040201,    0.023299
   0.045226,    0.022542
   0.050251,    0.021760
   0.055276,    0.020952
   0.060302,    0.020120
   0.065327,    0.019262
   0.070352,    0.018378
   0.075377,    0.017469
   0.080402,    0.016533
   0.085427,    0.015571
   0.090452,    0.014583
   0.095477,    0.013569
   0.100503,    0.012528
   0.105528,    0.011460
   0.110553,    0.010365
   0.115578,    0.009244
   0.120603,    0.008095
   0.125628,    0.006919
   0.130653,    0.005716
   0.135678,    0.004485
   0.140704,    0.003227
   0.145729,    0.001941
   0.150754,    0.000626
   0.155779,   -0.000716
   0.160804,   -0.002086
   0.165829,   -0.003485
   0.170854,   -0.004912
   0.175879,   -0.006368
   0.180905,   -0.007853
   0.185930,   -0.009367
   0.190955,   -0.010910
   0.195980,   -0.012483
   0.201005,   -0.014085
   0.206030,   -0.015717
   0.211055,   -0.017379
   0.216080,   -0.019072
   0.221106,   -0.020794
   0.226131,   -0.022548
   0.231156,   -0.024332
   0.236181,   -0.026147
   0.241206,   -0.027994
   0.246231,   -0.029872
   0.251256,   -0.031782
   0.256281,   -0.033724
   0.261307,   -0.035698
   0.266332,   -0.037705
   0.271357,   -0.039745
   0.276382,   -0.041818
   0.281407,   -0.043924
   0.286432,   -0.046064
   0.291457,   -0.048238
   0.296482,   -0.050452
   0.301508,   -0.052878
   0.306533,   -0.055726
   0.311558,   -0.058616
   0.316583,   -0.061536
   0.321608,   -0.064485
   0.326633,   -0.067463
   0.331658,   -0.070471
   0.336683,   -0.073508
   0.341709,   -0.076575
   0.346734,   -0.079671
   0.351759,   -0.082796
   0.356784,   -0.085950
   0.361809,   -0.089134
   0.366834,   -0.092347
   0.371859,   -0.095590
   0.376884,   -0.098862
   0.381910,   -0.102163
   0.386935,   -0.105494
   0.391960,   -0.108855
   0.396985,   -0.112245
   0.402010,   -0.115665
   0.407035,   -0.119114
   0.412060,   -0.122593
   0.417085,   -0.126103
   0.422111,   -0.129642
   0.427136,   -0.133211
   0.432161,   -0.136810
   0.437186,   -0.140439
   0.442211,   -0.144098
   0.447236,   -0.147788
   0.452261,   -0.151508
   0.457286,   -0.155259
   0.462312,   -0.159040
   0.467337,   -0.162851
   0.472362,   -0.166694
   0.477387,   -0.170567
   0.482412,   -0.174471
   0.487437,   -0.178406
   0.492462,   -0.182372
   0.497487,   -0.186369
   0.502513,   -0.190398
   0.507538,   -0.194458
   0.512563,   -0.198549
   0.517588,   -0.202672
   0.522613,   -0.206826
   0.527638,   -0.211012
   0.532663,   -0.215230
   0.537688,   -0.219480
   0.542714,   -0.223761
   0.547739,   -0.228075
   0.552764,   -0.232420
   0.557789,   -0.236797
   0.562814,   -0.241207
   0.567839,   -0.245648
   0.572864,   -0.250122
   0.577889,   -0.254628
   0.582915,   -0.259166
   0.587940,   -0.263736
   0.592965,   -0.268338
   0.597990,   -0.272972
   0.603015,   -0.277638
   0.608040,   -0.282336
   0.613065,   -0.287066
   0.618090,   -0.291827
   0.623116,   -0.296620
   0.628141,   -0.301445
   0.633166,   -0.306300
   0.638191,   -0.311187
   0.643216,   -0.316104
   0.648241,   -0.321051
   0.653266,   -0.326029
   0.658291,   -0.331036
   0.663317,   -0.336073
   0.668342,   -0.341138
   0.673367,   -0.346231
   0.678392,   -0.351352
   0.683417,   -0.356500
   0.688442,   -0.361675
   0.693467,   -0.366875
   0.698492,   -0.372099
   0.703518,   -0.377347
   0.708543,   -0.382617
   0.713568,   -0.387909
   0.718593,   -0.393221
   0.723618,   -0.398552
   0.728643,   -0.403899
   0.733668,   -0.409262
   0.738693,   -0.414639
   0.743719,   -0.420027
   0.748744,   -0.425424
   0.753769,   -0.430829
   0.758794,   -0.436237
   0.763819,   -0.441647
   0.768844,   -0.447054
   0.773869,   -0.452457
   0.778894,   -0.457850
   0.783920,   -0.463229
   0.788945,   -0.468591
   0.793970,   -0.473929
   0.798995,   -0.479239
   0.804020,   -0.484514
   0.809045,   -0.489748
   0.814070,   -0.494933
   0.819095,   -0.500062
   0.824121,   -0.505125
   0.829146,   -0.510113
   0.834171,   -0.515015
   0.839196,   -0.519820
   0.844221,   -0.524514
   0.849246,   -0.529082
   0.854271,   -0.533510
   0.859296,   -0.537778
   0.864322,   -0.541868
   0.869347,   -0.545758
   0.874372,   -0.549422
   0.879397,   -0.552834
   0.884422,   -0.555963
   0.889447,   -0.558773
   0.894472,   -0.561228
   0.899497,   -0.563281
   0.904523,   -0.564884
   0.909548,   -0.565980
   0.914573,   -0.566504
   0.919598,   -0.566381
   0.924623,   -0.565525
   0.929648,   -0.563835
   0.934673,   -0.561195
   0.939698,   -0.557466
   0.944724,   -0.552480
   0.949749,   -0.546039
   0.954774,   -0.537896
   0.959799,   -0.527744
   0.964824,   -0.515188
   0.969849,   -0.499708
   0.974874,   -0.480587
   0.979899,   -0.456778
   0.984925,   -0.426620
   0.989950,   -0.387090
   0.994975,   -0.331107
   1.000000,    0.000000
