eta, Cd
   0.000000,    0.005877
   0.020408,    0.005883
   0.040816,    0.005889
   0.061224,    0.005896
   0.081633,    0.005901
   0.102041,    0.005907
   0.122449,    0.005912
   0.142857,    0.005916
   0.163265,    0.005921
   0.183673,    0.005925
   0.204082,    0.005929
   0.224490,    0.005932
   0.244898,    0.005935
   0.265306,    0.005938
   0.285714,    0.005941
   0.306122,    0.005943
   0.326531,    0.005945
   0.346939,    0.005946
   0.367347,    0.005947
   0.387755,    0.005948
   0.408163,    0.005949
   0.428571,    0.005949
   0.448980,    0.005948
   0.469388,    0.005947
   0.489796,    0.005946
   0.510204,    0.005944
   0.530612,    0.005942
   0.551020,    0.005939
   0.571429,    0.005935
   0.591837,    0.005931
   0.612245,    0.005926
   0.632653,    0.005920
   0.653061,    0.005913
   0.673469,    0.005905
   0.693878,    0.005896
   0.714286,    0.005886
   0.734694,    0.005875
   0.755102,    0.005862
   0.775510,    0.005847
   0.795918,    0.005830
   0.816327,    0.005811
   0.836735,    0.005790
   0.857143,    0.005766
   0.877551,    0.005738
   0.897959,    0.005706
   0.918367,    0.005671
   0.938776,    0.005634
   0.959184,    0.005609
   0.979592,    0.005754
   1.000000,    0.005143
