Ground distance, Vertical Forces
 587.207060, 77938.470628
 592.330468, 78497.370041
 597.453877, 79056.269453
 602.577285, 79615.168865
 607.700694, 80174.068277
 612.824102, 80732.967689
 617.947510, 81291.867101
 623.230690, 81853.748066
 628.533819, 82416.001306
 633.836948, 82978.254547
 639.140077, 83540.507787
 644.443206, 84102.761027
 649.746335, 84665.014267
 655.049464, 85227.267507
 660.352593, 85789.520747
 665.655722, 86351.773988
 670.958851, 86914.027228
 676.417244, 87478.112438
 681.895024, 88042.426388
 687.372804, 88606.740337
 692.850584, 89171.054286
 698.328364, 89735.368236
 703.806143, 90299.682185
 709.283923, 90863.996134
 714.761703, 91428.310084
 720.239483, 91992.624033
 725.717263, 92556.937982
 731.303522, 93121.927119
 736.903326, 93687.000559
 742.503130, 94252.073999
 748.102934, 94817.147438
 750.429016, 95051.871207
 756.112488, 98973.478575
 761.795960, 102895.085944
 767.479432, 106816.693312
 773.162904, 110738.300680
 778.846375, 114659.908049
 784.568708, 118347.893262
 790.379849, 121501.982017
 796.190990, 124656.070773
 802.002132, 127810.159529
 807.813273, 130964.248284
 813.624414, 134118.337040
 819.435555, 137272.425795
 825.246697, 140426.514551
 831.057838, 143580.603307
 836.868979, 146734.692062
 842.727488, 150435.906538
 848.694245, 155387.466829
 854.661002, 160339.027119
 860.627759, 165290.587410
 866.594516, 170242.147700
 872.561273, 175193.707991
 878.528030, 180145.268281
 884.494787, 185096.828572
 890.461544, 190048.388862
 896.428301, 194999.949153
 902.439491, 199847.880114
 908.552225, 204458.987080
 914.664958, 209070.094047
 920.777691, 213681.201014
 926.890425, 218292.307981
 933.003158, 222903.414948
 939.115891, 227514.521915
 945.228625, 232125.628882
 951.341358, 236736.735849
 957.454091, 241347.842816
 961.706192, 244555.391967
 967.934738, 248336.335024
 974.163284, 252117.278081
 980.391830, 255898.221138
 986.620376, 259679.164195
 992.848922, 263460.107252
 999.077468, 267241.050309
1005.306014, 271021.993366
1011.534560, 274802.936423
1017.763106, 278583.879480
1023.991652, 282364.822537
1030.261056, 282640.931675
1036.530460, 282917.040813
1042.799864, 283193.149951
1049.069269, 283469.259090
1055.338673, 283745.368228
1061.618214, 283813.628430
1067.897755, 283881.888631
1074.177297, 283950.148833
1080.456838, 284018.409035
1086.736379, 284086.669237
1093.011579, 283889.913785
1099.286780, 283693.158333
1105.561980, 283496.402880
1111.837180, 283299.647428
1118.112381, 283102.891976
1124.387581, 282906.136524
1130.662781, 282709.381072
1136.937982, 282512.625620
