Ground Distance, Emission H2O
   0.000000,    0.038483
   0.015373,   38.484719
   0.168784,   76.986295
   0.339217,  115.489948
   0.509649,  153.993601
   0.680081,  192.497253
   0.850513,  231.000906
   1.020945,  269.504559
   1.191377,  308.008212
   1.361809,  346.511865
   1.532241,  385.015518
   1.702673,  423.519170
   2.119174,  462.048539
   2.566400,  500.581119
   3.013626,  539.113699
   3.460852,  577.646279
   3.908077,  616.178858
   4.355303,  654.711438
   4.802529,  693.244018
   5.249754,  731.776598
   5.696980,  770.309177
   6.144206,  808.841757
   6.834903,  847.393735
   7.556001,  885.948135
   8.277098,  924.502536
   8.998195,  963.056936
   9.719292, 1001.611336
  10.440390, 1040.165736
  11.161487, 1078.720136
  11.882584, 1117.274536
  12.603681, 1155.828936
  13.324779, 1194.383336
  14.286671, 1232.951006
  15.278630, 1271.520333
  16.270588, 1310.089660
  17.262547, 1348.658986
  18.254506, 1387.228313
  19.246464, 1425.797640
  20.238423, 1464.366966
  21.230381, 1502.936293
  22.222340, 1541.505620
  23.214298, 1580.074946
  24.444302, 1618.651609
  25.704029, 1657.229187
  26.963755, 1695.806766
  28.223481, 1734.384344
  29.483208, 1772.961922
  30.742934, 1811.539501
  32.002660, 1850.117079
  33.262387, 1888.694658
  34.522113, 1927.272236
  35.781839, 1965.849815
  37.276791, 2004.428995
  38.801114, 2043.008375
  40.325436, 2081.587754
  41.849759, 2120.167134
  43.374081, 2158.746514
  44.898403, 2197.325894
  46.422726, 2235.905274
  47.947048, 2274.484654
  49.471370, 2313.064034
  50.995693, 2351.643414
  52.752257, 2390.235971
  54.537820, 2428.830174
  56.323382, 2467.424376
  58.108945, 2506.018578
  59.894507, 2544.612781
  61.680069, 2583.206983
  63.465632, 2621.801186
  65.251194, 2660.395388
  67.036757, 2698.989590
  68.822319, 2737.583793
  70.836415, 2776.213928
  72.879045, 2814.848550
  74.921675, 2853.483172
  76.964305, 2892.117794
  79.006935, 2930.752416
  81.049566, 2969.387038
  83.092196, 3008.021660
  85.134826, 3046.656281
  87.177456, 3085.290903
  89.220087, 3123.925525
  91.487229, 3162.583816
  93.782403, 3201.245063
  96.077578, 3239.906309
  98.372752, 3278.567555
 100.667927, 3317.228802
 102.963101, 3355.890048
 105.258276, 3394.551294
 107.553451, 3433.212540
 109.848625, 3471.873787
 112.143800, 3510.535033
 114.659446, 3549.207560
 117.202621, 3587.881495
 119.745795, 3626.555431
 122.288970, 3665.229366
 124.832144, 3703.903301
 127.375319, 3742.577237
 129.918493, 3781.251172
 132.461668, 3819.925107
 135.004842, 3858.599043
 137.548017, 3897.272978
 140.307610, 3935.946458
 143.094225, 3974.619880
 145.880840, 4013.293302
 148.667455, 4051.966725
 151.454069, 4090.640147
 154.240684, 4129.313570
 157.027299, 4167.986992
 159.813914, 4206.660415
 162.600529, 4245.333837
 165.387144, 4284.007260
 168.386116, 4322.669132
 171.411602, 4361.329562
 174.437089, 4399.989993
 177.462575, 4438.650423
 180.488061, 4477.310853
 183.513548, 4515.971283
 186.539034, 4554.631714
 189.564521, 4593.292144
 192.590007, 4631.952574
 195.615493, 4670.613005
 198.849271, 4709.251422
 202.109056, 4747.887091
 205.368841, 4786.522761
 208.628626, 4825.158430
 211.888411, 4863.794099
 215.148195, 4902.429768
 218.407980, 4941.065437
 221.667765, 4979.701106
 224.927550, 5018.336776
 228.187335, 5056.972445
 231.651203, 5095.624020
 235.140553, 5134.277581
 238.629903, 5172.931143
 242.119254, 5211.584704
 245.608604, 5250.238266
 249.097954, 5288.891827
 252.587304, 5327.545388
 256.076654, 5366.198950
 259.566004, 5404.852511
 263.055355, 5443.506072
 266.743807, 5482.229363
 270.457118, 5520.961359
 274.170430, 5559.693356
 277.883742, 5598.425352
 281.597054, 5637.157348
 285.310365, 5675.889345
 289.023677, 5714.621341
 292.736989, 5753.353338
 296.450301, 5792.085334
 300.163613, 5830.817331
 304.070814, 5869.595069
 308.002224, 5908.378518
 311.933634, 5947.161968
 315.865044, 5985.945417
 319.796454, 6024.728867
 323.727864, 6063.512316
 327.659274, 6102.295766
 331.590684, 6141.079215
 335.522094, 6179.862664
 339.453505, 6218.646114
 343.573662, 6257.451898
 347.717386, 6296.260471
 351.861110, 6335.069044
 356.004834, 6373.877617
 360.148558, 6412.686190
 364.292283, 6451.494762
 368.436007, 6490.303335
 372.579731, 6529.111908
 376.723455, 6567.920481
 380.867179, 6606.729054
