Ground Distance, Emission H2O
 385.194582, 6645.538340
 389.544919, 6684.347716
 393.895256, 6723.157091
 398.245593, 6761.966466
 402.595930, 6800.775842
 406.946267, 6839.585217
 411.296604, 6878.394592
 415.646941, 6917.203968
 419.997278, 6956.013343
 424.347615, 6994.822718
 428.876639, 7033.612890
 433.427974, 7072.400663
 437.979309, 7111.188437
 442.530644, 7149.976211
 447.081979, 7188.763984
 451.633314, 7227.551758
 456.184649, 7266.339532
 460.735984, 7305.127305
 465.287319, 7343.915079
 469.838654, 7382.702852
 474.563764, 7421.453128
 479.310571, 7460.198721
 484.057379, 7498.944315
 488.804187, 7537.689908
 493.550994, 7576.435502
 498.297802, 7615.181095
 503.044610, 7653.926689
 507.791417, 7692.672282
 512.538225, 7731.417876
 517.285033, 7770.163469
 522.200785, 7808.854813
 527.137633, 7847.539384
 532.074480, 7886.223955
 537.011327, 7924.908526
 541.948174, 7963.593097
 546.885022, 8002.277667
 551.821869, 8040.962238
 556.758716, 8079.646809
 561.695563, 8118.331380
 566.632411, 8157.015951
 571.733460, 8195.659700
 576.855010, 8234.298352
 581.976561, 8272.937005
 587.098112, 8311.575657
 592.219663, 8350.214309
 597.341214, 8388.852962
 602.462765, 8427.491614
 607.584316, 8466.130266
 612.705867, 8504.768919
 617.827418, 8543.407571
 623.108544, 8582.096636
 628.409594, 8620.791995
 633.710645, 8659.487355
 639.011695, 8698.182714
 644.312746, 8736.878073
 649.613796, 8775.573433
 654.914847, 8814.268792
 660.215897, 8852.964151
 665.516948, 8891.659511
 670.817998, 8930.354870
 676.274106, 8969.094275
 681.749573, 9007.839180
 687.225041, 9046.584084
 692.700509, 9085.328989
 698.175977, 9124.073893
 703.651445, 9162.818798
 709.126913, 9201.563703
 714.602381, 9240.308607
 720.077849, 9279.053512
 725.553317, 9317.798416
 731.160236, 9356.566296
 736.783568, 9395.337044
 742.406900, 9434.107792
 748.030231, 9472.878540
 753.653563, 9511.649288
 759.276895, 9550.420036
 764.900227, 9589.190784
 767.831788, 9609.402789
 773.538409, 9648.181581
 779.245031, 9686.960373
 784.993421, 9725.740040
 790.801836, 9764.520964
 796.610252, 9803.301887
 802.418668, 9842.082810
 808.227084, 9880.863734
 814.035500, 9919.644657
 819.843916, 9958.425580
 825.652331, 9997.206503
 831.460747, 10035.987427
 837.269163, 10074.768350
 843.141569, 10113.545357
 849.105934, 10152.316734
 855.070300, 10191.088111
 861.034666, 10229.859489
 866.999032, 10268.630866
 872.963398, 10307.402243
 878.927764, 10346.173621
 884.892130, 10384.944998
 890.856496, 10423.716375
 896.820862, 10462.487753
 902.845657, 10501.249081
 908.957295, 10539.995966
 915.068934, 10578.742852
 921.180572, 10617.489737
 927.292211, 10656.236623
 933.403849, 10694.983508
 939.515488, 10733.730394
 945.627126, 10772.477279
 951.738765, 10811.224165
 957.850404, 10849.971050
 964.018606, 10888.702939
 970.268096, 10927.413275
 976.517586, 10966.123611
 982.767076, 11004.833947
 989.016567, 11043.544283
 995.266057, 11082.254619
1001.515547, 11120.964955
1007.765038, 11159.675291
1014.014528, 11198.385627
1020.264018, 11237.095963
1023.949212, 11259.922636
1030.308103, 11298.594389
1036.666995, 11337.266142
1043.025887, 11375.937895
1049.384779, 11414.609647
1055.743670, 11453.281400
1062.102562, 11491.953153
1068.461454, 11530.624906
1074.820345, 11569.296659
1081.179237, 11607.968412
1087.538129, 11646.640165
1093.935156, 11685.294902
1100.332183, 11723.949640
1106.729211, 11762.604377
1113.126238, 11801.259115
1119.523265, 11839.913852
1125.929505, 11878.562482
1132.335745, 11917.211112
1138.741986, 11955.859743
1145.148226, 11994.508373
1151.554466, 12033.157003
1157.955528, 12071.803368
1164.356589, 12110.449732
1170.757651, 12149.096097
1177.158713, 12187.742461
1183.559774, 12226.388826
1189.960836, 12265.035190
1196.361898, 12303.681555
1202.762959, 12342.327919
