eta, Cl
   0.000000,    1.770000
   0.034483,    1.771034
   0.068966,    1.772069
   0.103448,    1.773103
   0.137931,    1.774138
   0.172414,    1.775172
   0.206897,    1.776207
   0.241379,    1.777241
   0.275862,    1.778276
   0.310345,    1.779310
   0.344828,    1.780345
   0.379310,    1.781379
   0.413793,    1.782414
   0.448276,    1.783448
   0.482759,    1.784483
   0.517241,    1.785517
   0.551724,    1.786552
   0.586207,    1.787586
   0.620690,    1.788621
   0.655172,    1.789655
   0.689655,    1.790690
   0.724138,    1.791724
   0.758621,    1.792759
   0.793103,    1.793793
   0.827586,    1.794828
   0.862069,    1.795862
   0.896552,    1.796897
   0.931034,    1.797931
   0.965517,    1.798966
   1.000000,    1.800000
