alpha, Cm
   0.000000,    0.000000
   1.578947,    0.004123
   3.157895,    0.008247
   4.736842,    0.012370
   6.315789,    0.016494
   7.894737,    0.020617
   9.473684,    0.024740
  11.052632,    0.028864
  12.631579,    0.032987
  14.210526,    0.037110
  15.789474,    0.041234
  17.368421,    0.045357
  18.947368,    0.049481
  20.526316,    0.053604
  22.105263,    0.057727
  23.684211,    0.061851
  25.263158,    0.065974
  26.842105,    0.070098
  28.421053,    0.074221
  30.000000,    0.078344
