CLe, Static Stability Margin
  -0.847397,    0.315115
  -0.735773,    0.305589
  -0.624312,    0.286643
  -0.513015,    0.267938
  -0.401882,    0.249843
  -0.290902,    0.232428
  -0.180076,    0.218383
  -0.069413,    0.207827
   0.041466,    0.189790
   0.151877,    0.172144
   0.262127,    0.163327
   0.372226,    0.154920
   0.482163,    0.146437
   0.591933,    0.138352
   0.701537,    0.130816
   0.810979,    0.124234
   0.920271,    0.118215
   1.029404,    0.112294
   1.138373,    0.106676
   1.247179,    0.101591
   1.355823,    0.096956
   1.464002,    0.077874
   1.560126,   -0.001070
   1.625751,   -0.339879
   1.656241,   -2.696758
   1.662002,   -5.542426
   1.668373,   -3.561633
   1.714631,   -0.438774
   1.855599,   -0.062144
