CLe, Static Stability Margin
  -0.816510,    0.093528
  -0.708957,    0.083275
  -0.601561,    0.062931
  -0.494323,    0.042932
  -0.387242,    0.023679
  -0.280304,    0.005226
  -0.173512,   -0.009577
  -0.066874,   -0.020588
   0.039976,   -0.039641
   0.146380,   -0.058266
   0.252633,   -0.067366
   0.358745,   -0.076024
   0.464707,   -0.084757
   0.570514,   -0.093062
   0.676166,   -0.100782
   0.781667,   -0.107508
   0.887030,   -0.113656
   0.992246,   -0.119705
   1.097310,   -0.125443
   1.202223,   -0.130638
   1.306986,   -0.135421
   1.411307,   -0.156509
   1.504001,   -0.245252
   1.567265,   -0.626488
   1.596608,   -3.341945
   1.602057,   -6.597996
   1.608063,   -4.288570
