CLe, Static Stability Margin
  -0.867675,    0.443566
  -0.753378,    0.434477
  -0.639248,    0.416370
  -0.525286,    0.398445
  -0.411494,    0.381053
  -0.297860,    0.364272
  -0.184385,    0.350693
  -0.071079,    0.340424
   0.042444,    0.323011
   0.155486,    0.305968
   0.268360,    0.297338
   0.381076,    0.289097
   0.493623,    0.280783
   0.605996,    0.272849
   0.718194,    0.265444
   0.830222,    0.258966
   0.942093,    0.253042
   1.053798,    0.247216
   1.165332,    0.241690
   1.276693,    0.236689
   1.387885,    0.232160
   1.498597,    0.214275
   1.596973,    0.141106
   1.664148,   -0.172819
   1.695390,   -2.324702
   1.701356,   -4.936718
   1.707966,   -3.142917
   1.755302,   -0.279873
   1.899380,    0.072830
