CLe, Static Stability Margin
  -0.803839,    0.100552
  -0.707633,    0.091106
  -0.611556,    0.072934
  -0.515591,    0.055211
  -0.419750,    0.037057
  -0.324044,    0.019121
  -0.228467,    0.002315
  -0.133000,   -0.011038
  -0.037660,   -0.018470
   0.057923,   -0.035509
   0.153073,   -0.054570
   0.248111,   -0.063003
   0.343021,   -0.071631
   0.437801,   -0.079853
   0.532459,   -0.087139
   0.627003,   -0.094159
   0.721418,   -0.101156
   0.815706,   -0.107451
   0.909876,   -0.113027
   1.003930,   -0.118472
   1.097857,   -0.123746
   1.191660,   -0.128267
   1.285348,   -0.132477
   1.378810,   -0.144408
   1.465822,   -0.198219
   1.534270,   -0.354011
   1.578202,   -0.827471
   1.598802,   -3.448432
   1.604350,   -6.695260
