CLe, Static Stability Margin
  -0.816401,    0.092684
  -0.708862,    0.082428
  -0.601481,    0.062079
  -0.494257,    0.042075
  -0.387190,    0.022818
  -0.280267,    0.004361
  -0.173489,   -0.010444
  -0.066865,   -0.021457
   0.039971,   -0.040513
   0.146361,   -0.059142
   0.252599,   -0.068243
   0.358698,   -0.076901
   0.464645,   -0.085636
   0.570438,   -0.093941
   0.676077,   -0.101662
   0.781564,   -0.108388
   0.886913,   -0.114536
   0.992115,   -0.120586
   1.097165,   -0.126325
   1.202064,   -0.131519
   1.306814,   -0.136303
   1.411120,   -0.157399
   1.503803,   -0.246179
   1.567059,   -0.627574
   1.596398,   -3.344407
   1.601846,   -6.602040
   1.607850,   -4.291348
