CLe, Static Stability Margin
  -0.834340,    0.322356
  -0.734481,    0.313583
  -0.634756,    0.296635
  -0.535148,    0.280035
  -0.435671,    0.263032
  -0.336334,    0.246188
  -0.237134,    0.230321
  -0.138050,    0.217631
  -0.039102,    0.210423
   0.060096,    0.194284
   0.158840,    0.176264
   0.257464,    0.168097
   0.355951,    0.159742
   0.454298,    0.151753
   0.552513,    0.144647
   0.650606,    0.137791
   0.748560,    0.130950
   0.846376,    0.124782
   0.944065,    0.119313
   1.041629,    0.113970
   1.139055,    0.108787
   1.236345,    0.104350
   1.333512,    0.100256
   1.430439,    0.089358
   1.520674,    0.041149
   1.591665,   -0.097386
   1.637257,   -0.515214
   1.658685,   -2.802614
   1.664543,   -5.659257
   1.670729,   -3.967534
   1.699688,   -0.890074
   1.781700,   -0.220199
   1.954918,    0.012574
   2.264071,    0.073267
