Ground Roll Distance, Acceleration
1123.401227, -7565.145295
1150.347272, -7537.531978
1337.266456, -7349.627695
1374.238936, -7313.207100
1411.075987, -7277.162561
1447.778321, -7241.489623
1484.346647, -7206.183896
1491.949805, -7198.872855
1492.088829, -7198.739267
1492.181420, -7198.650298
1492.208562, -8723.495076
1492.233508, -8723.867019
1492.482960, -8727.586995
1494.977092, -8764.840933
1519.879383, -9142.853008
1664.029667, -11566.281505
1806.800529, -14429.381702
1941.376200, -17653.822279
1980.998154, -18718.290241
2022.897437, -19904.309748
2138.668808, -23571.812761
2249.654008, -27728.705895
2351.957503, -32257.256969
2445.482891, -37133.395722
2530.404059, -42328.719235
2606.988217, -47805.334007
2675.575441, -53516.572417
2736.559731, -59408.270059
2790.367554, -65420.098873
2801.751453, -66810.198902
2808.960422, -67714.591170
2812.912859, -68216.304624
2816.712588, -68687.306453
2853.061065, -73464.154308
2865.343622, -75201.678844
2872.947971, -76312.650871
2875.710676, -76721.878040
2878.682331, -77161.303856
2906.870211, -81571.022173
2918.933729, -83609.974334
2934.443206, -86392.390357
2936.140661, -86709.236050
2937.371674, -86930.261040
2938.472283, -87125.529270
2949.091369, -89060.915395
2974.671362, -94194.245840
2994.911614, -98989.337611
2997.207921, -99601.930713
2998.208876, -99875.275773
2998.624296, -99990.155286
2999.283214, -100192.919757
3005.238701, -102154.053606
3015.193846, -106574.696758
3016.228399, -107335.705695
3016.727650, -107811.289441
3017.055094, -108227.223544
3017.248078, -108598.778361
3017.328550, -108929.922133
3017.333541, -109010.600615
3017.333829, -109029.988809
3017.333837, -109035.807622
