alpha, Cm
   0.000000,    0.000000
   1.578947,    0.004658
   3.157895,    0.009315
   4.736842,    0.013973
   6.315789,    0.018631
   7.894737,    0.023288
   9.473684,    0.027946
  11.052632,    0.032604
  12.631579,    0.037261
  14.210526,    0.041919
  15.789474,    0.046577
  17.368421,    0.051234
  18.947368,    0.055892
  20.526316,    0.060550
  22.105263,    0.065208
  23.684211,    0.069865
  25.263158,    0.074523
  26.842105,    0.079181
  28.421053,    0.083838
  30.000000,    0.088496
