alpha body, Static Stability Margin
  -4.000000,    0.238008
  -3.172414,    0.241338
  -2.344828,    0.247945
  -1.517241,    0.254440
  -0.689655,    0.263127
   0.137931,    0.269308
   0.965517,    0.273159
   1.793103,    0.279379
   2.620690,    0.285470
   3.448276,    0.291437
   4.275862,    0.292737
   5.103448,    0.287228
   5.931034,    0.284172
   6.758621,    0.285673
   7.586207,    0.285870
   8.413793,    0.276520
   9.241379,    0.246554
  10.068966,    0.192937
  10.896552,    0.117818
  11.724138,    0.028516
  12.551724,   -0.046168
  13.379310,   -0.004595
  14.206897,    0.072893
  15.034483,    0.070564
  15.862069,    0.038359
  16.689655,   -0.026595
  17.517241,   -0.169030
  18.344828,   -0.738248
  19.172414,    0.109405
  20.000000,    1.426829
