Iterations, Best Cost
 211.325617,    0.000000
 212.327160,    0.000000
 213.328704,    0.000000
 214.330247,    0.000000
 215.331790,    0.000000
 216.333333,    0.000000
 217.334877,    0.000000
 218.336420,    0.000000
 219.337963,    0.000000
 220.339506,    0.000000
 221.341049,    0.000000
 222.342593,    0.000000
 223.344136,    0.000000
 224.345679,    0.000000
 225.347222,    0.000000
 226.348765,    0.000000
 227.350309,    0.000000
 228.351852,    0.000000
 229.353395,    0.000000
 230.354938,    0.000000
 231.356481,    0.000000
 232.358025,    0.000000
 233.359568,    0.000000
 234.361111,    0.000000
 235.362654,    0.000000
 236.364198,    0.000000
 237.365741,    0.000000
 238.367284,    0.000000
 239.368827,    0.000000
 240.370370,    0.000000
 241.371914,    0.000000
 242.373457,    0.000000
 243.375000,    0.000000
 244.376543,    0.000000
 245.378086,    0.000000
 246.379630,    0.000000
 247.381173,    0.000000
 248.382716,    0.000000
 249.384259,    0.000000
 250.385802,    0.000000
 251.387346,    0.000000
 252.388889,    0.000000
 253.390432,    0.000000
 254.391975,    0.000000
 255.393519,    0.000000
 256.395062,    0.000000
 257.396605,    0.000000
 258.398148,    0.000000
 259.399691,    0.000000
 260.401235,    0.000000
 261.402778,    0.000000
 262.404321,    0.000000
 263.405864,    0.000000
 264.407407,    0.000000
 265.408951,    0.000000
 266.410494,    0.000000
 267.412037,    0.000000
 268.413580,    0.000000
 269.415123,    0.000000
 270.416667,    0.000000
 271.418210,    0.000000
 272.419753,    0.000000
 273.421296,    0.000000
 274.422840,    0.000000
 275.424383,    0.000000
 276.425926,    0.000000
 277.427469,    0.000000
 278.429012,    0.000000
 279.430556,    0.000000
 280.432099,    0.000000
 281.433642,    0.000000
 282.435185,    0.000000
 283.436728,    0.000000
 284.438272,    0.000000
 285.439815,    0.000000
 286.441358,    0.000000
 287.442901,    0.000000
 288.444444,    0.000000
 289.445988,    0.000000
 290.447531,    0.000000
 291.449074,    0.000000
 292.450617,    0.000000
 293.452160,    0.000000
 294.453704,    0.000000
 295.455247,    0.000000
 296.456790,    0.000000
 297.458333,    0.000000
 298.459877,    0.000000
 299.461420,    0.000000
 300.462963,    0.000000
 301.464506,    0.000000
 302.466049,    0.000000
 303.467593,    0.000000
 304.469136,    0.000000
 305.470679,    0.000000
 306.472222,    0.000000
 307.473765,    0.000000
 308.475309,    0.000000
 309.476852,    0.000000
 310.478395,    0.000000
 311.479938,    0.000000
 312.481481,    0.000000
 313.483025,    0.000000
 314.484568,    0.000000
 315.486111,    0.000000
 316.487654,    0.000000
 317.489198,    0.000000
 318.490741,    0.000000
 319.492284,    0.000000
 320.493827,    0.000000
 321.495370,    0.000000
 322.496914,    0.000000
 323.498457,    0.000000
 324.500000,    0.000000
 325.501543,    0.000000
 326.503086,    0.000000
 327.504630,    0.000000
 328.506173,    0.000000
 329.507716,    0.000000
 330.509259,    0.000000
 331.510802,    0.000000
 332.512346,    0.000000
 333.513889,    0.000000
 334.515432,    0.000000
 335.516975,    0.000000
 336.518519,    0.000000
 337.520062,    0.000000
 338.521605,    0.000000
 339.523148,    0.000000
 340.524691,    0.000000
 341.526235,    0.000000
 342.527778,    0.000000
 343.529321,    0.000000
 344.530864,    0.000000
 345.532407,    0.000000
 346.533951,    0.000000
 347.535494,    0.000000
 348.537037,    0.000000
 349.538580,    0.000000
 350.540123,    0.000000
 351.541667,    0.000000
 352.543210,    0.000000
 353.544753,    0.000000
 354.546296,    0.000000
 355.547840,    0.000000
 356.549383,    0.000000
 357.550926,    0.000000
 358.552469,    0.000000
 359.554012,    0.000000
 360.555556,    0.000000
 361.557099,    0.000000
 362.558642,    0.000000
 363.560185,    0.000000
 364.561728,    0.000000
 365.563272,    0.000000
 366.564815,    0.000000
 367.566358,    0.000000
 368.567901,    0.000000
 369.569444,    0.000000
 370.570988,    0.000000
 371.572531,    0.000000
 372.574074,    0.000000
 373.575617,    0.000000
 374.577160,    0.000000
 375.578704,    0.000000
 376.580247,    0.000000
 377.581790,    0.000000
 378.583333,    0.000000
 379.584877,    0.000000
 380.586420,    0.000000
 381.587963,    0.000000
 382.589506,    0.000000
 383.591049,    0.000000
 384.592593,    0.000000
 385.594136,    0.000000
 386.595679,    0.000000
 387.597222,    0.000000
 388.598765,    0.000000
 389.600309,    0.000000
 390.601852,    0.000000
 391.603395,    0.000000
 392.604938,    0.000000
 393.606481,    0.000000
 394.608025,    0.000000
 395.609568,    0.000000
 396.611111,    0.000000
 397.612654,    0.000000
 398.614198,    0.000000
 399.615741,    0.000000
 400.617284,    0.000000
 401.618827,    0.000000
 402.620370,    0.000000
 403.621914,    0.000000
 404.623457,    0.000000
 405.625000,    0.000000
 406.626543,    0.000000
 407.628086,    0.000000
 408.629630,    0.000000
 409.631173,    0.000000
 410.632716,    0.000000
 411.634259,    0.000000
 412.635802,    0.000000
 413.637346,    0.000000
 414.638889,    0.000000
 415.640432,    0.000000
 416.641975,    0.000000
 417.643519,    0.000000
 418.645062,    0.000000
 419.646605,    0.000000
 420.648148,    0.000000
 421.649691,    0.000000
 422.651235,    0.000000
 423.652778,    0.000000
 424.654321,    0.000000
 425.655864,    0.000000
 426.657407,    0.000000
 427.658951,    0.000000
 428.660494,    0.000000
 429.662037,    0.000000
 430.663580,    0.000000
 431.665123,    0.000000
 432.666667,    0.000000
 433.668210,    0.000000
 434.669753,    0.000000
 435.671296,    0.000000
 436.672840,    0.000000
 437.674383,    0.000000
 438.675926,    0.000000
 439.677469,    0.000000
 440.679012,    0.000000
 441.680556,    0.000000
 442.682099,    0.000000
 443.683642,    0.000000
 444.685185,    0.000000
 445.686728,    0.000000
 446.688272,    0.000000
 447.689815,    0.000000
 448.691358,    0.000000
 449.692901,    0.000000
 450.694444,    0.000000
 451.695988,    0.000000
 452.697531,    0.000000
 453.699074,    0.000000
 454.700617,    0.000000
 455.702160,    0.000000
 456.703704,    0.000000
 457.705247,    0.000000
 458.706790,    0.000000
 459.708333,    0.000000
 460.709877,    0.000000
 461.711420,    0.000000
 462.712963,    0.000000
 463.714506,    0.000000
 464.716049,    0.000000
 465.717593,    0.000000
 466.719136,    0.000000
 467.720679,    0.000000
 468.722222,    0.000000
 469.723765,    0.000000
 470.725309,    0.000000
 471.726852,    0.000000
 472.728395,    0.000000
 473.729938,    0.000000
 474.731481,    0.000000
 475.733025,    0.000000
 476.734568,    0.000000
 477.736111,    0.000000
 478.737654,    0.000000
 479.739198,    0.000000
 480.740741,    0.000000
 481.742284,    0.000000
 482.743827,    0.000000
 483.745370,    0.000000
 484.746914,    0.000000
 485.748457,    0.000000
 486.750000,    0.000000
 487.751543,    0.000000
 488.753086,    0.000000
 489.754630,    0.000000
 490.756173,    0.000000
 491.757716,    0.000000
 492.759259,    0.000000
 493.760802,    0.000000
 494.762346,    0.000000
 495.763889,    0.000000
 496.765432,    0.000000
 497.766975,    0.000000
 498.768519,    0.000000
 499.770062,    0.000000
 500.771605,    0.000000
 501.773148,    0.000000
 502.774691,    0.000000
 503.776235,    0.000000
 504.777778,    0.000000
 505.779321,    0.000000
 506.780864,    0.000000
 507.782407,    0.000000
 508.783951,    0.000000
 509.785494,    0.000000
 510.787037,    0.000000
 511.788580,    0.000000
 512.790123,    0.000000
 513.791667,    0.000000
 514.793210,    0.000000
 515.794753,    0.000000
 516.796296,    0.000000
 517.797840,    0.000000
 518.799383,    0.000000
 519.800926,    0.000000
 520.802469,    0.000000
 521.804012,    0.000000
 522.805556,    0.000000
 523.807099,    0.000000
 524.808642,    0.000000
 525.810185,    0.000000
 526.811728,    0.000000
 527.813272,    0.000000
 528.814815,    0.000000
 529.816358,    0.000000
 530.817901,    0.000000
 531.819444,    0.000000
 532.820988,    0.000000
 533.822531,    0.000000
 534.824074,    0.000000
 535.825617,    0.000000
 536.827160,    0.000000
 537.828704,    0.000000
 538.830247,    0.000000
 539.831790,    0.000000
 540.833333,    0.000000
 541.834877,    0.000000
 542.836420,    0.000000
 543.837963,    0.000000
 544.839506,    0.000000
 545.841049,    0.000000
 546.842593,    0.000000
 547.844136,    0.000000
 548.845679,    0.000000
 549.847222,    0.000000
 550.848765,    0.000000
 551.850309,    0.000000
 552.851852,    0.000000
 553.853395,    0.000000
 554.854938,    0.000000
 555.856481,    0.000000
 556.858025,    0.000000
 557.859568,    0.000000
 558.861111,    0.000000
 559.862654,    0.000000
 560.864198,    0.000000
 561.865741,    0.000000
 562.867284,    0.000000
 563.868827,    0.000000
 564.870370,    0.000000
 565.871914,    0.000000
 566.873457,    0.000000
 567.875000,    0.000000
 568.876543,    0.000000
 569.878086,    0.000000
 570.879630,    0.000000
 571.881173,    0.000000
 572.882716,    0.000000
 573.884259,    0.000000
 574.885802,    0.000000
 575.887346,    0.000000
 576.888889,    0.000000
 577.890432,    0.000000
 578.891975,    0.000000
 579.893519,    0.000000
 580.895062,    0.000000
 581.896605,    0.000000
 582.898148,    0.000000
 583.899691,    0.000000
 584.901235,    0.000000
 585.902778,    0.000000
 586.904321,    0.000000
 587.905864,    0.000000
 588.907407,    0.000000
 589.908951,    0.000000
 590.910494,    0.000000
 591.912037,    0.000000
 592.913580,    0.000000
 593.915123,    0.000000
 594.916667,    0.000000
 595.918210,    0.000000
 596.919753,    0.000000
 597.921296,    0.000000
 598.922840,    0.000000
 599.924383,    0.000000
 600.925926,    0.000000
 601.927469,    0.000000
 602.929012,    0.000000
 603.930556,    0.000000
 604.932099,    0.000000
 605.933642,    0.000000
 606.935185,    0.000000
 607.936728,    0.000000
 608.938272,    0.000000
 609.939815,    0.000000
 610.941358,    0.000000
 611.942901,    0.000000
 612.944444,    0.000000
 613.945988,    0.000000
 614.947531,    0.000000
 615.949074,    0.000000
 616.950617,    0.000000
 617.952160,    0.000000
 618.953704,    0.000000
 619.955247,    0.000000
 620.956790,    0.000000
 621.958333,    0.000000
 622.959877,    0.000000
 623.961420,    0.000000
 624.962963,    0.000000
 625.964506,    0.000000
 626.966049,    0.000000
 627.967593,    0.000000
 628.969136,    0.000000
 629.970679,    0.000000
 630.972222,    0.000000
 631.973765,    0.000000
 632.975309,    0.000000
 633.976852,    0.000000
 634.978395,    0.000000
 635.979938,    0.000000
 636.981481,    0.000000
 637.983025,    0.000000
 638.984568,    0.000000
 639.986111,    0.000000
 640.987654,    0.000000
 641.989198,    0.000000
 642.990741,    0.000000
 643.992284,    0.000000
 644.993827,    0.000000
 645.995370,    0.000000
 646.996914,    0.000000
 647.998457,    0.000000
 649.000000,    0.000000
