Iterations, Best Cost
   0.000000,   94.195209
   1.001543,   94.195209
   2.003086,   65.267551
   3.004630,   55.452239
   4.006173,   52.053989
   5.007716,   52.053989
   6.009259,   45.133529
   7.010802,   45.133529
   8.012346,   34.834981
   9.013889,   21.939118
  10.015432,   19.513520
  11.016975,    9.774751
  12.018519,    9.774751
  13.020062,    9.774751
  14.021605,    9.774751
  15.023148,    9.774751
  16.024691,    7.052219
  17.026235,    7.052219
  18.027778,    6.655449
  19.029321,    6.655449
  20.030864,    6.407751
  21.032407,    6.407751
  22.033951,    5.957902
  23.035494,    4.971141
  24.037037,    4.970203
  25.038580,    4.970203
  26.040123,    2.635832
  27.041667,    2.635832
  28.043210,    2.635832
  29.044753,    2.635832
  30.046296,    2.635832
  31.047840,    2.094085
  32.049383,    2.094085
  33.050926,    2.094085
  34.052469,    2.094085
  35.054012,    1.553302
  36.055556,    1.098689
  37.057099,    0.871872
  38.058642,    0.871872
  39.060185,    0.613616
  40.061728,    0.602799
  41.063272,    0.602799
  42.064815,    0.410005
  43.066358,    0.284395
  44.067901,    0.284395
  45.069444,    0.235835
  46.070988,    0.217540
  47.072531,    0.162799
  48.074074,    0.162799
  49.075617,    0.162799
  50.077160,    0.125873
  51.078704,    0.122719
  52.080247,    0.122719
  53.081790,    0.030084
  54.083333,    0.030084
  55.084877,    0.030084
  56.086420,    0.023482
  57.087963,    0.023482
  58.089506,    0.023482
  59.091049,    0.021361
  60.092593,    0.016244
  61.094136,    0.016244
  62.095679,    0.015435
  63.097222,    0.015435
  64.098765,    0.012509
  65.100309,    0.012509
  66.101852,    0.012509
  67.103395,    0.012509
  68.104938,    0.012509
  69.106481,    0.012509
  70.108025,    0.012509
  71.109568,    0.010159
  72.111111,    0.010159
  73.112654,    0.010159
  74.114198,    0.010159
  75.115741,    0.010159
  76.117284,    0.009896
  77.118827,    0.007483
  78.120370,    0.007236
  79.121914,    0.007236
  80.123457,    0.005881
  81.125000,    0.005881
  82.126543,    0.005158
  83.128086,    0.003930
  84.129630,    0.003930
  85.131173,    0.003152
  86.132716,    0.003152
  87.134259,    0.003152
  88.135802,    0.002719
  89.137346,    0.001713
  90.138889,    0.001713
  91.140432,    0.001713
  92.141975,    0.001713
  93.143519,    0.001713
  94.145062,    0.001335
  95.146605,    0.001224
  96.148148,    0.001064
  97.149691,    0.001023
  98.151235,    0.001023
  99.152778,    0.000959
 100.154321,    0.000959
 101.155864,    0.000726
 102.157407,    0.000630
 103.158951,    0.000630
 104.160494,    0.000630
 105.162037,    0.000622
 106.163580,    0.000622
 107.165123,    0.000600
 108.166667,    0.000600
 109.168210,    0.000600
 110.169753,    0.000563
 111.171296,    0.000445
 112.172840,    0.000445
 113.174383,    0.000435
 114.175926,    0.000339
 115.177469,    0.000281
 116.179012,    0.000281
 117.180556,    0.000240
 118.182099,    0.000176
 119.183642,    0.000176
 120.185185,    0.000147
 121.186728,    0.000145
 122.188272,    0.000133
 123.189815,    0.000133
 124.191358,    0.000131
 125.192901,    0.000124
 126.194444,    0.000124
 127.195988,    0.000123
 128.197531,    0.000113
 129.199074,    0.000099
 130.200617,    0.000099
 131.202160,    0.000038
 132.203704,    0.000038
 133.205247,    0.000011
 134.206790,    0.000011
 135.208333,    0.000011
 136.209877,    0.000011
 137.211420,    0.000011
 138.212963,    0.000007
 139.214506,    0.000007
 140.216049,    0.000007
 141.217593,    0.000007
 142.219136,    0.000005
 143.220679,    0.000005
 144.222222,    0.000005
 145.223765,    0.000005
 146.225309,    0.000003
 147.226852,    0.000003
 148.228395,    0.000002
 149.229938,    0.000002
 150.231481,    0.000002
 151.233025,    0.000002
 152.234568,    0.000002
 153.236111,    0.000002
 154.237654,    0.000002
 155.239198,    0.000002
 156.240741,    0.000002
 157.242284,    0.000002
 158.243827,    0.000001
 159.245370,    0.000001
 160.246914,    0.000001
 161.248457,    0.000001
 162.250000,    0.000001
 163.251543,    0.000001
 164.253086,    0.000001
 165.254630,    0.000001
 166.256173,    0.000001
 167.257716,    0.000001
 168.259259,    0.000001
 169.260802,    0.000001
 170.262346,    0.000001
 171.263889,    0.000001
 172.265432,    0.000001
 173.266975,    0.000001
 174.268519,    0.000001
 175.270062,    0.000001
 176.271605,    0.000001
 177.273148,    0.000000
 178.274691,    0.000000
 179.276235,    0.000000
 180.277778,    0.000000
 181.279321,    0.000000
 182.280864,    0.000000
 183.282407,    0.000000
 184.283951,    0.000000
 185.285494,    0.000000
 186.287037,    0.000000
 187.288580,    0.000000
 188.290123,    0.000000
 189.291667,    0.000000
 190.293210,    0.000000
 191.294753,    0.000000
 192.296296,    0.000000
 193.297840,    0.000000
 194.299383,    0.000000
 195.300926,    0.000000
 196.302469,    0.000000
 197.304012,    0.000000
 198.305556,    0.000000
 199.307099,    0.000000
 200.308642,    0.000000
 201.310185,    0.000000
 202.311728,    0.000000
 203.313272,    0.000000
 204.314815,    0.000000
 205.316358,    0.000000
 206.317901,    0.000000
 207.319444,    0.000000
 208.320988,    0.000000
 209.322531,    0.000000
 210.324074,    0.000000
