alpha body, CLh_e
 -10.000000,   -0.440920
  -9.090909,   -0.429669
  -8.181818,   -0.417221
  -7.272727,   -0.403583
  -6.363636,   -0.388763
  -5.454545,   -0.372768
  -4.545455,   -0.355603
  -3.636364,   -0.337273
  -2.727273,   -0.317773
  -1.818182,   -0.291729
  -0.909091,   -0.275022
  -0.000000,   -0.257142
   0.909091,   -0.238084
   1.818182,   -0.217842
   2.727273,   -0.196410
   3.636364,   -0.173784
   4.545455,   -0.149952
   5.454545,   -0.124907
   6.363636,   -0.098641
   7.272727,   -0.071145
   8.181818,   -0.042407
   9.090909,   -0.012415
  10.000000,    0.018841
  10.909091,    0.051163
  11.818182,    0.083601
  12.727273,    0.115188
  13.636364,    0.145304
  14.545455,    0.174008
  15.454545,    0.201889
