alpha body, CLh_e
 -10.000000,   -0.316036
  -9.090909,   -0.312954
  -8.181818,   -0.309906
  -7.272727,   -0.306882
  -6.363636,   -0.303870
  -5.454545,   -0.300860
  -4.545455,   -0.297840
  -3.636364,   -0.294799
  -2.727273,   -0.291726
  -1.818182,   -0.283426
  -0.909091,   -0.285206
  -0.000000,   -0.286920
   0.909091,   -0.288555
   1.818182,   -0.290102
   2.727273,   -0.291547
   3.636364,   -0.292881
   4.545455,   -0.294090
   5.454545,   -0.295165
   6.363636,   -0.296093
   7.272727,   -0.296862
   8.181818,   -0.297463
