eta, Cm
   0.000000,    0.048107
   0.020408,    0.046530
   0.040816,    0.045109
   0.061224,    0.043640
   0.081633,    0.042113
   0.102041,    0.040521
   0.122449,    0.038860
   0.142857,    0.037126
   0.163265,    0.035318
   0.183673,    0.033435
   0.204082,    0.031475
   0.224490,    0.029438
   0.244898,    0.027324
   0.265306,    0.025132
   0.285714,    0.022864
   0.306122,    0.020518
   0.326531,    0.018097
   0.346939,    0.015600
   0.367347,    0.013030
   0.387755,    0.010387
   0.408163,    0.007673
   0.428571,    0.004891
   0.448980,    0.002044
   0.469388,   -0.000866
   0.489796,   -0.003834
   0.510204,   -0.006856
   0.530612,   -0.009925
   0.551020,   -0.013035
   0.571429,   -0.016179
   0.591837,   -0.019345
   0.612245,   -0.022524
   0.632653,   -0.025702
   0.653061,   -0.028863
   0.673469,   -0.031988
   0.693878,   -0.035056
   0.714286,   -0.038040
   0.734694,   -0.040909
   0.755102,   -0.043625
   0.775510,   -0.046144
   0.795918,   -0.048412
   0.816327,   -0.050362
   0.836735,   -0.051911
   0.857143,   -0.052957
   0.877551,   -0.053364
   0.897959,   -0.052949
   0.918367,   -0.051455
   0.938776,   -0.048483
   0.959184,   -0.043334
   0.979592,   -0.034441
   1.000000,    0.000000
