Time, Fuel used
   0.000000,    0.000000
   1.000000,    1.073954
   2.000000,    2.148831
   3.000000,    3.224318
   4.000000,    4.300202
   5.000000,    5.376342
   6.000000,    6.452623
   7.000000,    7.529023
   8.000000,    8.605589
   9.000000,    9.682332
  10.000000,   10.759319
  11.000000,   11.836702
  12.000000,   12.914521
  13.000000,   13.992822
  14.000000,   15.071715
  15.000000,   16.151139
  16.000000,   17.231132
  17.000000,   18.311749
  18.000000,   19.392918
  18.461566,   19.892211
  19.461566,   20.974401
  20.089012,   21.653855
  20.688845,   22.303733
  21.188845,   22.845615
  22.188845,   23.929923
  23.188845,   25.014451
  23.421772,   25.267036
  24.406463,   26.334504
  25.406463,   27.417759
  26.406463,   28.500015
  27.406463,   29.581213
  28.406463,   30.661334
  29.406463,   31.740368
  30.406463,   32.818313
  31.406463,   33.895167
  32.406463,   34.970926
  33.406463,   36.045590
  34.406463,   37.119155
  35.406463,   38.191621
  35.421772,   38.208030
  36.022823,   38.852096
  37.022823,   39.922779
  38.022823,   40.992361
  39.022823,   42.060842
  40.022823,   43.128225
  41.022823,   44.194511
  42.022823,   45.259703
  43.022823,   46.323802
  44.022823,   47.386809
  44.423899,   47.812850
  45.423899,   48.861072
  46.423899,   49.881746
  47.423899,   50.874959
  48.423899,   51.840796
  49.423899,   52.792558
  50.423899,   53.743500
  51.423899,   54.693630
  52.423899,   55.642951
  53.423899,   56.591465
  54.423899,   57.539174
  55.423899,   58.486079
  56.423899,   59.432180
  57.423899,   60.377480
  58.423899,   61.321980
  59.423899,   62.265680
  60.423899,   63.208583
  61.423899,   64.150689
  62.423899,   65.091999
  63.423899,   66.032515
  64.423899,   66.972238
  65.423899,   67.911170
  66.423899,   68.849311
  67.423899,   69.786663
  68.423899,   70.723226
  69.423899,   71.659003
  70.423899,   72.593994
  71.423899,   73.528210
  72.423899,   74.461653
  73.423899,   75.394326
  74.423899,   76.326231
  75.423899,   77.257367
  76.423899,   78.187736
  77.423899,   79.117339
  78.423899,   80.046178
  79.423899,   80.974254
  80.423899,   81.901567
  81.423899,   82.828119
  82.423899,   83.753912
  83.423899,   84.678946
  84.423899,   85.603222
  85.423899,   86.526742
  86.423899,   87.449507
  87.423899,   88.371517
  88.423899,   89.292775
  89.423899,   90.213281
  90.423899,   91.133036
  91.423899,   92.052042
  92.423899,   92.970299
  93.423899,   93.887809
  94.423899,   94.804573
  95.423899,   95.720593
  96.423899,   96.635868
  97.423899,   97.550290
  98.423899,   98.463052
  99.423899,   99.373997
 100.423899,  100.283132
 101.423899,  101.190462
 102.423899,  102.095994
 103.423899,  102.999735
 104.423899,  103.901689
 105.423899,  104.801865
 106.423899,  105.700267
 107.423899,  106.596903
 108.423899,  107.491777
 109.423899,  108.384897
 110.423899,  109.276269
 111.423899,  110.165898
 112.423899,  111.053791
 113.423899,  111.939954
 114.423899,  112.824392
 115.423899,  113.707112
 116.423899,  114.588120
 117.423899,  115.467422
 118.423899,  116.345023
 119.423899,  117.220930
 120.423899,  118.095149
 121.423899,  118.967684
 122.423899,  119.838543
 123.423899,  120.707731
 124.423899,  121.575254
 125.423899,  122.441117
 125.890512,  122.844573
