CL, CM
  -0.344074,    0.697379
  -0.253429,    0.711354
  -0.163514,    0.728138
  -0.073657,    0.745370
   0.016144,    0.763052
   0.105890,    0.781624
   0.195584,    0.800162
   0.285226,    0.819143
   0.374821,    0.838559
   0.464368,    0.858405
   0.553870,    0.878676
   0.643514,    0.898705
   0.733518,    0.917717
   0.823583,    0.936758
   0.913714,    0.955814
   1.002173,    0.974228
   1.075893,    0.986980
   1.125234,    0.988931
   1.152365,    0.978716
   1.171266,    0.959125
   1.207732,    0.937292
   1.299402,    0.924865
   1.495785,    0.938161
   1.858356,    0.998074
   2.460466,    1.130556
