CL, CM
  -0.179746,    0.093885
  -0.089101,    0.106701
   0.000814,    0.122447
   0.090671,    0.138763
   0.180472,    0.155649
   0.270218,    0.173547
   0.359911,    0.191532
   0.449554,    0.210082
   0.539149,    0.229189
   0.628696,    0.248848
   0.718198,    0.269053
   0.807842,    0.289138
   0.897845,    0.308328
   0.987911,    0.327669
   1.078042,    0.347147
   1.166501,    0.366104
   1.240221,    0.379521
   1.289562,    0.382259
   1.316693,    0.372951
   1.335594,    0.354390
   1.372060,    0.333706
   1.463730,    0.322549
   1.660113,    0.337236
   2.022684,    0.398659
   2.624794,    0.532772
