CL, CM
  -0.288839,    0.484883
  -0.198194,    0.498557
  -0.108279,    0.515080
  -0.018422,    0.532093
   0.071379,    0.549596
   0.161125,    0.568030
   0.250819,    0.586471
   0.340461,    0.605397
   0.430056,    0.624798
   0.519603,    0.644670
   0.609105,    0.665008
   0.698749,    0.685145
   0.788752,    0.704307
   0.878818,    0.723538
   0.968949,    0.742825
   1.057408,    0.761510
   1.131128,    0.774575
   1.180469,    0.776879
   1.207600,    0.767058
   1.226501,    0.747903
   1.262967,    0.726544
   1.354637,    0.714632
   1.551020,    0.728484
   1.913591,    0.788993
   2.515701,    0.922111
