CL, CM
  -0.295876,    0.515458
  -0.205231,    0.529150
  -0.115316,    0.545686
  -0.025459,    0.562706
   0.064342,    0.580211
   0.154088,    0.598642
   0.243782,    0.617075
   0.333425,    0.635986
   0.423019,    0.655368
   0.512566,    0.675217
   0.602068,    0.695525
   0.691712,    0.715627
   0.781716,    0.734749
   0.871781,    0.753935
   0.961912,    0.773172
   1.050371,    0.791802
   1.124091,    0.804806
   1.173432,    0.807045
   1.200563,    0.797153
   1.219464,    0.777921
   1.255930,    0.756482
   1.347600,    0.744483
   1.543983,    0.758244
   1.906554,    0.818656
   2.508664,    0.951673
