CL, CM
  -0.117645,   -0.125047
  -0.027000,   -0.112739
   0.062915,   -0.097456
   0.152772,   -0.081558
   0.242573,   -0.065044
   0.332319,   -0.047472
   0.422012,   -0.029767
   0.511655,   -0.011451
   0.601250,    0.007467
   0.690797,    0.026983
   0.780299,    0.047092
   0.869943,    0.067126
   0.959946,    0.086313
   1.050012,    0.105695
   1.140143,    0.125261
   1.228602,    0.144352
   1.302322,    0.157948
   1.351663,    0.160912
   1.378794,    0.151876
   1.397695,    0.133632
   1.434161,    0.113311
   1.525831,    0.102564
   1.722214,    0.117705
   2.084785,    0.179628
   2.686895,    0.314287
