CL, CM
  -0.055544,   -0.343841
   0.035101,   -0.332054
   0.125016,   -0.317246
   0.214873,   -0.301777
   0.304674,   -0.285646
   0.394420,   -0.268412
   0.484113,   -0.250999
   0.573756,   -0.232930
   0.663351,   -0.214212
   0.752898,   -0.194849
   0.842400,   -0.174849
   0.932044,   -0.154876
   1.022047,   -0.135706
   1.112113,   -0.116293
   1.202244,   -0.096652
   1.290703,   -0.077439
   1.364423,   -0.063674
   1.413764,   -0.060497
   1.440895,   -0.069273
   1.459796,   -0.087211
   1.496262,   -0.107180
   1.587932,   -0.117531
   1.784315,   -0.101946
   2.146886,   -0.039534
   2.748996,    0.095658
