CL, CM
  -0.239883,    0.308377
  -0.149238,    0.321674
  -0.059323,    0.337857
   0.030534,    0.354565
   0.120335,    0.371800
   0.210081,    0.390001
   0.299775,    0.408246
   0.389418,    0.427011
   0.479012,    0.446288
   0.568559,    0.466073
   0.658061,    0.486359
   0.747705,    0.506481
   0.837709,    0.525664
   0.927774,    0.544953
   1.017905,    0.564334
   1.106364,    0.583149
   1.180084,    0.596380
   1.229425,    0.598888
   1.256556,    0.589305
   1.275457,    0.570424
   1.311923,    0.549377
   1.403593,    0.537812
   1.599976,    0.552047
   1.962547,    0.612974
   2.564657,    0.746547
