CL, CM
  -0.306336,    0.558462
  -0.215691,    0.572189
  -0.125776,    0.588751
  -0.035919,    0.605791
   0.053882,    0.623307
   0.143628,    0.641742
   0.233322,    0.660170
   0.322965,    0.679070
   0.412559,    0.698432
   0.502106,    0.718252
   0.591608,    0.738525
   0.681252,    0.758584
   0.771256,    0.777655
   0.861321,    0.796783
   0.951452,    0.815953
   1.039911,    0.834508
   1.113632,    0.847431
   1.162972,    0.849580
   1.190103,    0.839590
   1.209004,    0.820254
   1.245471,    0.798701
   1.337140,    0.786583
   1.533523,    0.800216
   1.896094,    0.860493
   2.498204,    0.993367
