alpha, CL
   0.000000,    0.000000
   1.578947,    0.054608
   3.157895,    0.109216
   4.736842,    0.163823
   6.315789,    0.218431
   7.894737,    0.273039
   9.473684,    0.327647
  11.052632,    0.382255
  12.631579,    0.436796
  14.210526,    0.490972
  15.789474,    0.544436
  17.368421,    0.596855
  18.947368,    0.647907
  20.526316,    0.697278
  22.105263,    0.744668
  23.684211,    0.789785
  25.263158,    0.832351
  26.842105,    0.872095
  28.421053,    0.908760
  30.000000,    0.942098
