alpha body, CL_e
  -4.000000,   -0.343931
  -3.517241,   -0.288241
  -3.034483,   -0.232495
  -2.551724,   -0.176691
  -2.068966,   -0.120831
  -1.586207,   -0.064912
  -1.103448,   -0.008938
  -0.620690,    0.047096
  -0.137931,    0.103188
   0.344828,    0.159340
   0.827586,    0.215549
   1.310345,    0.271820
   1.793103,    0.328150
   2.275862,    0.386699
   2.758621,    0.443094
   3.241379,    0.499551
   3.724138,    0.556069
   4.206897,    0.612649
   4.689655,    0.669294
   5.172414,    0.726001
   5.655172,    0.782774
   6.137931,    0.839612
   6.620690,    0.896517
   7.103448,    0.953489
   7.586207,    1.010528
   8.068966,    1.067636
   8.551724,    1.124808
   9.034483,    1.182050
   9.517241,    1.239362
  10.000000,    1.295054
