alpha body, CL_e
  -4.000000,   -0.377894
  -3.517241,   -0.316719
  -3.034483,   -0.255481
  -2.551724,   -0.194176
  -2.068966,   -0.132809
  -1.586207,   -0.071374
  -1.103448,   -0.009876
  -0.620690,    0.051690
  -0.137931,    0.113321
   0.344828,    0.175021
   0.827586,    0.236787
   1.310345,    0.298621
   1.793103,    0.360523
   2.275862,    0.424866
   2.758621,    0.486845
   3.241379,    0.548894
   3.724138,    0.611013
   4.206897,    0.673202
   4.689655,    0.735465
   5.172414,    0.797799
   5.655172,    0.860209
   6.137931,    0.922693
   6.620690,    0.985253
   7.103448,    1.047889
   7.586207,    1.110604
   8.068966,    1.173396
   8.551724,    1.236262
   9.034483,    1.299210
   9.517241,    1.362237
  10.000000,    1.423491
