DOC (M$_year), TOTAL GWP (kg)
  12.795139, 5432.313548
  12.793470, 5419.238921
  12.794696, 5417.709701
  12.793823, 5419.715718
  12.793547, 5420.205133
  12.793513, 5421.863751
  12.793537, 5420.122671
  12.796202, 5436.070633
  12.794228, 5427.910426
  12.794569, 5417.873626
  12.794972, 5428.601142
  12.793468, 5422.610637
  12.794628, 5418.420602
  12.793721, 5420.776275
  12.794126, 5425.309839
  12.793912, 5423.310485
  12.795472, 5433.776269
  12.794164, 5418.034104
  12.794963, 5431.128110
  12.796672, 5437.069680
  12.796060, 5435.329971
  12.793827, 5420.248507
  12.793453, 5419.596349
  12.794404, 5428.843856
  12.793728, 5424.343248
  12.795605, 5434.283420
  12.793802, 5424.270667
  12.794232, 5428.339360
  12.794627, 5430.558769
  12.793907, 5424.725200
  12.796064, 5434.421259
  12.793204, 5420.718917
  12.794326, 5428.541375
  12.794430, 5417.769357
  12.794800, 5429.127831
  12.795103, 5431.286190
  12.793446, 5423.806180
  12.793715, 5423.913738
  12.794704, 5429.467174
  12.793885, 5426.503066
  12.794028, 5418.310041
  12.793560, 5424.054293
  12.794965, 5417.654960
  12.796586, 5436.825383
  12.795487, 5434.101235
  12.794333, 5418.379012
  12.794420, 5429.337377
  12.794454, 5417.923135
  12.794080, 5425.766968
  12.793976, 5427.058386
  12.793510, 5424.815186
  12.793715, 5418.583045
  12.794279, 5427.657680
  12.794717, 5429.433635
  12.794174, 5418.567166
  12.793652, 5424.449949
  12.794002, 5427.258214
  12.795595, 5432.422693
  12.796513, 5435.373502
  12.795603, 5432.997370
  12.793898, 5425.983212
  12.793556, 5425.002231
  12.794174, 5426.950220
  12.794193, 5428.447291
  12.794179, 5425.623283
  12.794515, 5429.300208
  12.793520, 5421.318539
  12.794213, 5428.648594
  12.793555, 5420.354351
  12.793230, 5421.911057
  12.793772, 5425.566311
  12.795220, 5431.100002
  12.794869, 5417.850412
  12.794882, 5430.903188
  12.795658, 5431.869450
  12.793247, 5421.086725
  12.794263, 5427.325300
  12.794766, 5429.784811
  12.793695, 5419.276068
  12.795989, 5433.020485
  12.793808, 5421.226153
  12.793559, 5424.427262
  12.794055, 5419.288264
  12.794198, 5428.609485
  12.793314, 5422.489901
  12.794609, 5429.152456
  12.793949, 5418.439198
  12.793734, 5419.034962
  12.796254, 5434.640124
  12.793261, 5422.128235
  12.795163, 5431.749731
  12.796151, 5435.899584
  12.794107, 5426.604563
  12.795658, 5433.108688
  12.793699, 5419.443017
  12.793306, 5421.937347
  12.793870, 5424.892707
  12.793455, 5422.534751
  12.793326, 5422.320332
  12.793878, 5418.275334
  12.794315, 5427.852165
  12.796221, 5435.559110
  12.794180, 5426.390007
  12.794525, 5429.814968
  12.793698, 5420.961576
  12.793776, 5425.024495
  12.793483, 5421.341737
  12.794902, 5430.184918
  12.793588, 5418.882829
  12.793839, 5419.337322
  12.796634, 5437.145102
  12.794058, 5427.300285
  12.795741, 5433.397454
  12.793800, 5425.328613
  12.793856, 5424.095921
  12.793376, 5420.000638
  12.793512, 5420.219475
  12.793796, 5418.543973
  12.793707, 5423.412317
  12.793769, 5422.403856
  12.793872, 5418.379547
  12.793940, 5418.791959
  12.793540, 5423.130825
  12.795427, 5432.042635
