eta, D
   0.000000,  313.096415
   0.020408,  308.909876
   0.040816,  304.824224
   0.061224,  300.743934
   0.081633,  296.661825
   0.102041,  292.577241
   0.122449,  288.489774
   0.142857,  284.399151
   0.163265,  280.305182
   0.183673,  276.207727
   0.204082,  272.106681
   0.224490,  268.001960
   0.244898,  263.893494
   0.265306,  259.781221
   0.285714,  255.665084
   0.306122,  251.545023
   0.326531,  247.420979
   0.346939,  243.292886
   0.367347,  239.160673
   0.387755,  235.024260
   0.408163,  230.883554
   0.428571,  226.738451
   0.448980,  222.588835
   0.469388,  218.434573
   0.489796,  214.275548
   0.510204,  210.111416
   0.530612,  205.941942
   0.551020,  201.767043
   0.571429,  197.586394
   0.591837,  193.399657
   0.612245,  189.206444
   0.632653,  185.006304
   0.653061,  180.798712
   0.673469,  176.583049
   0.693878,  172.358587
   0.714286,  168.124462
   0.734694,  163.879642
   0.755102,  159.622892
   0.775510,  155.352711
   0.795918,  151.067272
   0.816327,  146.764310
   0.836735,  142.440992
   0.857143,  138.093693
   0.877551,  133.717666
   0.897959,  129.306470
   0.918367,  124.850956
   0.938776,  120.337482
   0.959184,  115.956866
   0.979592,  111.766160
   1.000000,  106.902378
