Ground distance, Rate of Climb
  68.291146,    0.000000
  69.296276,    0.000000
  70.312943,    0.000000
  71.342151,    0.000000
  72.373557,    0.000000
  73.417416,    0.000000
  74.474319,    0.000000
  75.539894,    0.000000
  76.610701,    0.000000
  77.692731,    0.000000
  78.789895,    0.000000
  79.893030,    0.000000
  81.004159,    0.000000
  82.127575,    0.000000
  83.261355,    0.000000
  84.406994,    0.000000
  85.562780,    0.000000
  86.728639,    0.000000
  87.904599,    0.000000
  89.086066,    0.000000
  90.278928,    0.000000
  91.477140,    0.000000
  91.525562,    0.000000
  91.534729,    0.000000
  91.537882,    0.000000
  91.539488,    0.000000
  91.541146,    0.000000
  91.557726,    0.000000
  91.648356,    0.000000
  92.118093,    0.000000
  93.407481,    0.000000
  94.637949,    0.000000
  95.876956,    0.000000
  97.132210,    0.000000
  98.390739,    0.000000
  99.656812,    0.000000
 100.937459,    0.000000
 102.226944,    0.000000
 103.532879,    0.000000
 104.842352,    0.000000
 106.160120,    0.000000
 107.497134,    0.000000
 108.844163,    0.000000
 110.201567,    0.000000
 111.566576,    0.000000
 112.940267,    0.000000
 114.325318,    0.000000
 115.723182,    0.000000
 117.131924,    0.000000
 118.550319,    0.000000
 119.975600,    0.000000
 121.416277,    0.000000
 122.871708,    0.000000
 124.334350,    0.000000
 125.806312,    0.000000
 127.298627,    0.000000
 128.796905,    0.000000
 130.305803,    0.000000
 131.824169,    0.000000
 133.351754,    0.000000
 133.659579,    0.000000
 133.889974,    0.000000
 134.043395,    0.000000
 134.149849,    0.000000
 134.227713,    0.000000
 134.288461,    0.000000
 134.349403,    0.000000
 134.405989,    0.000000
 134.462146,    0.000000
 134.466733,    0.000000
 134.469353,    0.000000
 134.470734,    0.000000
 134.472000,    0.000000
 134.484385,    0.000000
 134.560434,    0.000000
 134.864443,    0.000000
 136.250762,    0.000000
 137.810125,    0.000000
 139.380731,    0.000000
 140.962679,    0.000000
 142.557496,    0.000000
 144.162655,    0.000000
 145.784360,    0.000000
 147.412671,    0.000000
 149.046992,    0.000000
 150.698774,    0.000000
 152.366486,    0.000000
 154.041243,    0.000000
 155.726945,    0.000000
 157.421742,    0.000000
 159.125921,    0.000000
 160.840034,    0.000000
