eta, cCl
   0.000000,    2.197092
   0.020408,    2.189246
   0.040816,    2.188430
   0.061224,    2.186904
   0.081633,    2.184612
   0.102041,    2.181520
   0.122449,    2.177605
   0.142857,    2.172852
   0.163265,    2.167247
   0.183673,    2.160783
   0.204082,    2.153452
   0.224490,    2.145246
   0.244898,    2.136158
   0.265306,    2.126179
   0.285714,    2.115301
   0.306122,    2.103511
   0.326531,    2.090797
   0.346939,    2.077142
   0.367347,    2.062528
   0.387755,    2.046932
   0.408163,    2.030329
   0.428571,    2.012688
   0.448980,    1.993974
   0.469388,    1.974147
   0.489796,    1.953161
   0.510204,    1.930950
   0.530612,    1.907448
   0.551020,    1.882599
   0.571429,    1.856321
   0.591837,    1.828523
   0.612245,    1.799097
   0.632653,    1.767920
   0.653061,    1.734850
   0.673469,    1.699721
   0.693878,    1.662341
   0.714286,    1.622482
   0.734694,    1.579876
   0.755102,    1.534202
   0.775510,    1.485073
   0.795918,    1.432015
   0.816327,    1.374439
   0.836735,    1.311600
   0.857143,    1.242529
   0.877551,    1.165925
   0.897959,    1.079963
   0.918367,    0.981929
   0.938776,    0.867412
   0.959184,    0.728195
   0.979592,    0.544473
   1.000000,    0.000000
