eta, cCl
   0.000000,    0.701986
   0.020408,    0.699480
   0.040816,    0.699219
   0.061224,    0.698731
   0.081633,    0.697999
   0.102041,    0.697011
   0.122449,    0.695760
   0.142857,    0.694241
   0.163265,    0.692451
   0.183673,    0.690386
   0.204082,    0.688043
   0.224490,    0.685421
   0.244898,    0.682517
   0.265306,    0.679329
   0.285714,    0.675853
   0.306122,    0.672087
   0.326531,    0.668024
   0.346939,    0.663662
   0.367347,    0.658992
   0.387755,    0.654009
   0.408163,    0.648704
   0.428571,    0.643068
   0.448980,    0.637089
   0.469388,    0.630754
   0.489796,    0.624049
   0.510204,    0.616952
   0.530612,    0.609443
   0.551020,    0.601504
   0.571429,    0.593108
   0.591837,    0.584226
   0.612245,    0.574824
   0.632653,    0.564863
   0.653061,    0.554297
   0.673469,    0.543073
   0.693878,    0.531130
   0.714286,    0.518394
   0.734694,    0.504782
   0.755102,    0.490188
   0.775510,    0.474491
   0.795918,    0.457539
   0.816327,    0.439143
   0.836735,    0.419066
   0.857143,    0.396997
   0.877551,    0.372521
   0.897959,    0.345056
   0.918367,    0.313733
   0.938776,    0.277144
   0.959184,    0.232663
   0.979592,    0.173963
   1.000000,    0.000000
