eta, CL add.
   0.000000,    0.216265
   0.020408,    0.217891
   0.040816,    0.220957
   0.061224,    0.223815
   0.081633,    0.226512
   0.102041,    0.229076
   0.122449,    0.231531
   0.142857,    0.233895
   0.163265,    0.236184
   0.183673,    0.238413
   0.204082,    0.240595
   0.224490,    0.242746
   0.244898,    0.244885
   0.265306,    0.247032
   0.285714,    0.249139
   0.306122,    0.250801
   0.326531,    0.251613
   0.346939,    0.252259
   0.367347,    0.252893
   0.387755,    0.253502
   0.408163,    0.254077
   0.428571,    0.254612
   0.448980,    0.255103
   0.469388,    0.255544
   0.489796,    0.255931
   0.510204,    0.256257
   0.530612,    0.256517
   0.551020,    0.256703
   0.571429,    0.256808
   0.591837,    0.256821
   0.612245,    0.256730
   0.632653,    0.256520
   0.653061,    0.256173
   0.673469,    0.255667
   0.693878,    0.254973
   0.714286,    0.254056
   0.734694,    0.252872
   0.755102,    0.251362
   0.775510,    0.249453
   0.795918,    0.247045
   0.816327,    0.244006
   0.836735,    0.240154
   0.857143,    0.235235
   0.877551,    0.228881
   0.897959,    0.220542
   0.918367,    0.209350
   0.938776,    0.193847
   0.959184,    0.171282
   0.979592,    0.135231
   1.000000,    0.000000
