Ground Roll Distance, Acceleration
1079.922048, -4675.782669
1103.657251, -4669.436884
1265.101853, -4626.825092
1297.133512, -4618.484713
1329.079944, -4610.204056
1360.941372, -4601.982727
1392.718017, -4593.820332
1393.987322, -4593.495057
1396.525528, -4592.844787
1397.540658, -4592.584784
1397.970504, -4592.474700
1398.830150, -4592.254564
1398.901212, -4592.236367
1398.937961, -4592.226957
1398.962058, -4592.220787
1398.976272, -4592.217148
1398.982854, -4592.215462
1398.985045, -4592.214901
1398.986085, -28397.382102
1398.987031, -28397.419094
1398.996493, -28397.789016
1399.091110, -28401.488461
1400.037116, -28438.505501
1409.480013, -28810.942598
1502.118643, -32769.865280
1597.115436, -37497.289781
1684.246031, -42573.768121
1763.181149, -47942.755266
1834.119197, -53556.838097
1897.366172, -59361.684432
1953.290726, -65296.662368
1968.027713, -67012.845495
1981.532323, -68649.444610
1986.373244, -69251.898946
1988.842191, -69553.486335
1991.087804, -69826.077848
2012.965170, -72573.940855
2031.906414, -75100.084777
2044.910332, -76922.880053
2049.403236, -77570.388166
2054.849830, -78359.581260
2090.314172, -83897.598696
2098.436341, -85279.367836
2106.879702, -86769.479243
2109.226537, -87194.159284
2110.455629, -87414.918493
2111.631606, -87617.014949
2122.950730, -89618.414288
2148.922176, -94689.403062
2169.328962, -99416.467473
2170.867685, -99817.766619
2171.864245, -100082.519363
2172.236605, -100185.716073
2172.588968, -100291.221307
2175.932270, -101328.494937
2187.246584, -105745.645866
2189.072246, -106831.903344
2189.788903, -107378.471929
2190.271916, -107843.716644
2190.588770, -108258.191700
2190.767441, -108628.136735
2190.830998, -108957.101058
2190.831738, -108980.757254
2190.831934, -108997.558893
2190.831939, -109001.063188
