eta, Add. Load
   0.000000, 34159.403654
   0.020408, 33843.987494
   0.040816, 33739.795476
   0.061224, 33588.403670
   0.081633, 33398.120631
   0.102041, 33174.560334
   0.122449, 32921.969374
   0.142857, 32643.773026
   0.163265, 32342.870087
   0.183673, 32021.822872
   0.204082, 31683.003267
   0.224490, 31328.733580
   0.244898, 30961.466855
   0.265306, 30584.104807
   0.285714, 30190.582029
   0.306122, 29796.110051
   0.326531, 29442.028843
   0.346939, 29065.809422
   0.367347, 28685.982682
   0.387755, 28301.076008
   0.408163, 27910.293073
   0.428571, 27513.152720
   0.448980, 27109.328703
   0.469388, 26698.565548
   0.489796, 26280.629486
   0.510204, 25855.211420
   0.530612, 25422.017077
   0.551020, 24980.770083
   0.571429, 24531.058757
   0.591837, 24072.375092
   0.612245, 23604.089751
   0.632653, 23125.421373
   0.653061, 22635.397673
   0.673469, 22132.805024
   0.693878, 21616.121868
   0.714286, 21083.429291
   0.734694, 20532.288902
   0.755102, 19959.573097
   0.775510, 19361.224506
   0.795918, 18731.907496
   0.816327, 18064.490325
   0.836735, 17349.252231
   0.857143, 16572.624702
   0.877551, 15715.101774
   0.897959, 14747.565611
   0.918367, 13624.307120
   0.938776, 12268.217435
   0.959184, 10533.365160
   0.979592, 8074.161256
   1.000000,    0.000000
