V (EAS), 
 130.082138,    0.000000
 130.082138,    1.000000
 138.481669,    1.133311
 146.881200,    1.274961
 155.280732,    1.424950
 163.680263,    1.583278
 172.079794,    1.749945
 180.479326,    1.924950
 188.878857,    2.108295
 197.278388,    2.299978
 205.677919,    2.500000
 358.211070,    2.500000
 447.763838,    2.500000
 447.763838,    0.000000
 358.211070,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,   -1.000000
 164.542335,    0.000000
