alpha, CL
  -5.581336,   -0.182693
  -4.928973,   -0.123102
  -4.276610,   -0.063511
  -3.624246,   -0.003920
  -2.971883,    0.055671
  -2.319519,    0.115263
  -1.667156,    0.174854
  -1.014793,    0.234445
  -0.362429,    0.294036
   0.289934,    0.353627
   0.942297,    0.413218
   1.594661,    0.472809
   2.247024,    0.532400
   2.899387,    0.591991
   3.551751,    0.651582
   4.204114,    0.711173
   4.856478,    0.770765
   5.508841,    0.830356
   6.161204,    0.889947
   6.813568,    0.949538
   7.465931,    1.009129
   8.118294,    1.068708
   8.770658,    1.126607
   9.423021,    1.178144
  10.075385,    1.218871
  10.727748,    1.245002
  11.380111,    1.253412
  12.032475,    1.241637
  12.684838,    1.207872
  13.337201,    1.150973
