alpha, CL
  -4.000000,    1.380140
  -3.172414,    1.457514
  -2.344828,    1.534888
  -1.517241,    1.612262
  -0.689655,    1.689636
   0.137931,    1.767010
   0.965517,    1.844384
   1.793103,    1.921758
   2.620690,    1.999132
   3.448276,    2.076506
   4.275862,    2.153880
   5.103448,    2.231254
   5.931034,    2.308628
   6.758621,    2.386002
   7.586207,    2.463376
   8.413793,    2.540750
   9.241379,    2.618123
  10.068966,    2.695497
  10.896552,    2.772871
  11.724138,    2.850245
  12.551724,    2.927619
  13.379310,    3.004993
  14.206897,    3.082367
  15.034483,    3.159709
  15.862069,    3.232840
  16.689655,    3.291094
  17.517241,    3.326685
  18.344828,    3.335867
